t,ap,cp,v
1738573667,1071.65,1071.65,1334
1738573682,1071.65,1071.65,1334
1738573741,1071.65,1071.65,1334
1738574159,1064.40,1051.75,2668
1738574219,1061.60,1053.80,3477
1738574279,1060.94,1057.85,4007
1738574339,1060.89,1063.00,4321
1738574399,1061.04,1061.00,4479
1738574458,1061.23,1062.90,4865
1738574519,1061.21,1061.00,5091
1738574579,1061.20,1065.20,5211
1738574639,1061.21,1061.60,5263
1738574699,1061.28,1061.00,5478
1738574759,1061.26,1059.05,5553
1738574819,1061.27,1065.25,5797
1738574879,1061.33,1062.35,6019
1738574939,1061.69,1067.95,6425
1738574999,1062.12,1070.00,6786
1738575059,1062.48,1067.30,7350
1738575119,1062.76,1068.60,7658
1738575179,1062.85,1067.45,7765
1738575239,1062.99,1068.10,7999
1738575299,1063.00,1064.90,8010
1738575359,1063.03,1065.15,8080
1738575419,1063.14,1067.15,8273
1738575479,1063.31,1068.90,8504
1738575539,1063.31,1066.30,8509
1738575599,1064.10,1069.75,9596
1738575659,1064.58,1073.70,10153
1738575719,1064.90,1069.50,10552
1738575779,1064.99,1069.15,10832
1738575839,1065.23,1068.90,11566
1738575899,1065.31,1066.35,12033
1738575959,1065.32,1066.35,12156
1738576019,1065.32,1066.00,12202
1738576079,1065.32,1064.50,12255
1738576139,1065.29,1063.50,12379
1738576197,1065.23,1060.95,12591
1738576259,1065.01,1062.35,13293
1738576319,1065.00,1062.80,13343
1738576379,1065.00,1061.85,13385
1738576438,1065.00,1061.85,13385
1738576499,1064.99,1063.00,13395
1738576559,1064.98,1061.30,13457
1738576619,1064.98,1061.30,13457
1738576679,1064.97,1063.40,13513
1738576739,1064.99,1066.40,13774
1738576799,1064.99,1068.35,13797
1738576859,1064.99,1070.70,13804
1738576919,1065.01,1066.40,14107
1738576977,1065.01,1066.40,14107
1738577039,1065.01,1065.80,14108
1738577099,1065.01,1064.45,14116
1738577159,1064.98,1063.65,14313
1738577219,1064.98,1061.20,14324
1738577279,1064.97,1062.50,14342
1738577339,1064.97,1062.50,14342
1738577398,1064.97,1064.00,14372
1738577459,1064.97,1064.65,14389
1738577519,1064.97,1063.00,14414
1738577579,1064.97,1063.00,14415
1738577639,1064.97,1062.80,14430
1738577699,1064.97,1062.80,14430
1738577759,1064.97,1065.50,14833
1738577819,1064.97,1066.05,14880
1738577879,1064.97,1065.75,14889
1738577939,1064.98,1065.00,14996
1738577999,1064.97,1064.45,15019
1738578059,1064.96,1062.00,15113
1738578119,1064.96,1063.10,15178
1738578179,1064.96,1063.10,15178
1738578239,1064.96,1064.60,15185
1738578298,1064.94,1062.15,15276
1738578359,1064.94,1062.55,15301
1738578419,1064.94,1062.55,15301
1738578479,1064.93,1062.10,15381
1738578539,1064.93,1062.10,15381
1738578599,1064.87,1062.00,15681
1738578659,1064.87,1061.70,15684
1738578719,1064.86,1062.90,15726
1738578778,1064.86,1062.90,15726
1738578839,1064.86,1064.40,15766
1738578899,1064.86,1064.60,15813
1738578959,1064.85,1063.10,15933
1738579019,1064.84,1062.25,16023
1738579079,1064.84,1062.45,16029
1738579139,1064.81,1058.70,16123
1738579199,1064.56,1057.70,16643
1738579259,1064.55,1058.45,16656
1738579319,1064.50,1057.80,16764
1738579379,1064.42,1057.55,16964
