t,ap,cp,v
1738573639,131.70,131.70,13810
1738573736,131.70,131.70,13810
1738573740,131.70,131.70,13810
1738574159,130.77,129.95,40365
1738574219,130.52,129.80,51468
1738574279,130.21,129.40,74336
1738574339,130.11,129.25,85031
1738574399,130.06,129.25,89611
1738574459,129.94,129.00,101533
1738574518,129.90,128.85,105702
1738574579,129.72,129.00,131673
1738574639,129.70,129.20,136744
1738574699,129.65,128.90,148642
1738574758,129.64,129.30,151218
1738574819,129.63,129.90,156968
1738574879,129.65,129.85,177505
1738574939,129.65,129.90,178920
1738574999,129.68,130.05,194292
1738575059,129.69,130.10,197485
1738575119,129.69,130.25,199925
1738575179,129.70,130.20,204134
1738575239,129.70,130.05,206126
1738575299,129.71,129.75,211144
1738575359,129.71,129.45,211903
1738575419,129.70,129.30,213721
1738575479,129.69,129.10,218963
1738575539,129.67,128.80,224555
1738575599,129.66,128.75,228527
1738575659,129.61,128.80,243668
1738575719,129.55,128.25,257527
1738575779,129.54,128.15,260492
1738575839,129.51,128.15,265050
1738575899,129.47,128.15,273924
1738575959,129.41,128.00,284389
1738576019,129.41,128.15,285372
1738576079,129.40,128.00,288214
1738576139,129.39,128.00,289290
1738576199,129.39,128.05,290311
1738576258,129.37,128.35,293125
1738576319,129.37,128.60,293552
1738576379,129.36,128.50,296780
1738576439,129.36,128.55,297287
1738576499,129.35,128.50,299610
1738576559,129.35,128.55,300965
1738576619,129.35,128.80,302478
1738576679,129.34,128.65,306557
1738576739,129.34,128.65,308200
1738576799,129.33,128.85,309598
1738576859,129.33,128.70,310560
1738576919,129.32,129.00,315843
1738576979,129.32,128.90,316420
1738577039,129.32,129.15,317017
1738577099,129.32,129.20,318746
1738577159,129.32,129.00,319155
1738577219,129.32,129.20,320223
1738577279,129.32,129.30,321437
1738577339,129.32,129.25,321923
1738577399,129.32,129.30,322334
1738577459,129.32,129.40,326150
1738577519,129.32,129.90,328311
1738577579,129.33,129.85,335203
1738577639,129.34,129.75,341136
1738577699,129.34,129.95,343085
1738577759,129.34,129.75,344539
1738577819,129.35,129.85,346771
1738577877,129.35,129.75,349522
1738577939,129.35,130.00,350491
1738577999,129.35,129.85,351822
1738578059,129.36,129.70,358564
1738578119,129.36,129.90,359296
1738578179,129.36,129.85,360189
1738578239,129.37,129.85,364464
1738578299,129.37,129.85,365325
1738578359,129.37,129.80,365638
1738578419,129.37,129.75,366835
1738578479,129.38,129.70,372264
1738578539,129.38,129.75,372681
1738578599,129.38,129.75,375091
1738578659,129.38,129.70,381920
1738578719,129.38,129.85,382783
1738578779,129.39,129.70,384731
1738578839,129.39,129.60,386102
1738578899,129.39,129.90,386515
1738578959,129.39,130.10,389777
1738579019,129.39,130.00,389974
1738579079,129.39,130.05,391299
1738579139,129.39,129.90,391579
1738579197,129.40,129.85,392210
1738579259,129.40,129.80,392429
1738579319,129.40,129.90,392815
1738579379,129.41,130.10,399332
1738579439,129.41,130.10,399405
1738579499,129.41,130.00,400213
1738579559,129.41,130.00,401217
1738579619,129.41,129.90,401605
1738579679,129.41,130.00,401727
1738579739,129.41,130.00,403243
1738579799,129.41,130.00,403907
1738579859,129.42,129.70,409946
1738579919,129.42,129.65,416138
1738579979,129.42,129.60,417666
1738580039,129.42,129.55,418716
1738580099,129.42,129.60,419265
1738580159,129.43,129.55,420813
1738580219,129.43,129.65,421313
1738580279,129.43,129.75,421472
1738580339,129.43,129.85,421682
1738580399,129.43,129.75,422054
1738580459,129.43,130.00,422833
1738580519,129.43,129.85,422991
1738580579,129.43,130.00,423110
1738580639,129.43,129.90,423344
1738580699,129.43,129.75,424472
1738580759,129.43,129.85,426094
1738580819,129.43,129.85,426374
1738580879,129.43,129.90,426407
1738580938,129.43,129.85,426709
1738580999,129.43,129.75,427438
1738581059,129.43,129.80,427634
1738581119,129.44,130.05,433097
1738581179,129.44,130.10,434159
1738581239,129.45,130.25,439224
1738581299,129.46,130.20,448186
1738581359,129.46,130.25,448418
1738581419,129.46,130.25,448923
1738581479,129.47,130.15,450896
1738581539,129.47,130.15,451397
1738581599,129.47,130.15,452024
1738581657,129.47,130.15,452439
1738581719,129.47,130.05,452630
1738581779,129.47,130.10,452920
1738581839,129.51,130.05,484154
1738581899,129.51,129.95,485052
1738581959,129.51,130.00,485144
1738582019,129.51,130.05,486529
1738582079,129.51,130.10,490126
1738582139,129.51,130.00,490646
1738582199,129.51,130.00,490828
1738582259,129.51,129.90,491132
