t,ap,cp,v
1738573635,1639.80,1639.80,54
1738573682,1639.80,1639.80,54
1738573741,1639.80,1639.80,54
1738574159,1620.01,1620.30,1015
1738574219,1620.04,1620.75,1034
1738574279,1619.69,1614.90,1294
1738574339,1617.99,1612.00,1767
1738574399,1617.41,1616.50,2067
1738574459,1617.32,1615.80,2210
1738574519,1617.30,1615.80,2251
1738574579,1617.18,1616.60,2386
1738574639,1617.19,1619.45,2391
1738574699,1617.22,1619.45,2424
1738574759,1617.25,1620.30,2480
1738574819,1617.82,1624.05,2769
1738574879,1619.12,1637.20,3009
1738574939,1619.56,1639.25,3085
1738574999,1619.90,1636.80,3147
1738575059,1620.35,1638.00,3228
1738575119,1620.62,1634.85,3280
1738575179,1620.72,1634.00,3304
1738575239,1620.72,1634.00,3304
1738575299,1620.75,1634.40,3311
1738575359,1620.80,1632.00,3326
1738575419,1621.11,1633.00,3411
1738575479,1621.29,1634.25,3459
1738575539,1621.43,1633.10,3501
1738575599,1621.44,1634.70,3504
1738575659,1621.49,1637.25,3516
1738575719,1622.25,1642.00,3647
1738575779,1622.92,1646.40,3761
1738575839,1623.11,1643.65,3795
1738575899,1623.22,1642.60,3816
1738575959,1623.47,1637.35,3881
1738576016,1623.57,1636.25,3913
1738576079,1623.75,1632.00,3997
1738576139,1623.80,1631.45,4025
1738576199,1623.81,1630.50,4029
1738576259,1623.93,1631.45,4099
1738576319,1623.94,1634.00,4101
1738576379,1624.11,1630.95,4197
1738576439,1624.13,1631.70,4210
1738576499,1624.27,1630.40,4313
1738576559,1624.27,1630.40,4313
1738576619,1624.28,1630.75,4320
1738576679,1624.29,1630.60,4326
1738576739,1624.29,1630.60,4326
1738576799,1624.29,1632.60,4327
1738576859,1624.29,1632.00,4328
1738576919,1624.29,1632.00,4328
1738576979,1624.30,1632.50,4334
1738577039,1624.30,1632.50,4334
1738577099,1624.30,1632.50,4334
1738577159,1624.30,1631.10,4335
1738577219,1624.43,1631.15,4408
1738577279,1624.43,1631.15,4408
1738577338,1624.48,1632.75,4435
1738577399,1624.60,1634.45,4491
1738577459,1624.60,1634.45,4491
1738577519,1624.65,1635.30,4515
1738577579,1624.65,1635.30,4515
1738577639,1624.65,1635.30,4515
1738577699,1624.65,1633.45,4516
1738577759,1624.65,1633.45,4516
1738577819,1624.82,1633.90,4607
1738577879,1624.84,1634.70,4613
1738577939,1624.85,1633.45,4620
1738577999,1624.85,1633.45,4620
1738578059,1624.97,1634.75,4673
1738578119,1625.00,1638.70,4685
1738578179,1625.07,1638.00,4709
1738578239,1625.14,1638.45,4734
1738578299,1625.78,1638.70,4967
1738578359,1625.78,1638.70,4967
1738578419,1625.78,1638.70,4967
1738578479,1625.78,1639.65,4968
1738578539,1626.13,1639.60,5098
1738578599,1626.14,1638.40,5102
1738578659,1626.77,1639.25,5359
1738578719,1627.06,1640.00,5477
1738578778,1627.08,1639.05,5487
1738578839,1627.08,1637.40,5488
1738578898,1627.08,1637.40,5488
1738578959,1627.08,1637.40,5488
1738579019,1627.08,1637.40,5488
1738579079,1627.08,1637.40,5488
1738579139,1627.08,1637.40,5488
1738579199,1627.08,1637.85,5489
1738579259,1627.08,1638.45,5490
1738579319,1627.08,1638.45,5490
1738579379,1627.37,1641.95,5615
1738579439,1627.54,1644.75,5668
1738579499,1627.54,1646.20,5669
1738579559,1627.59,1648.45,5682
1738579619,1627.60,1648.45,5684
1738579679,1627.60,1648.45,5684
1738579739,1628.61,1650.00,5964
