t,ap,cp,v
1738573635,869.05,869.05,691
1738573741,869.05,869.05,691
1738574078,869.05,869.05,691
1738574159,870.04,873.00,3864
1738574219,870.26,871.25,4118
1738574279,870.75,873.50,4770
1738574339,872.21,873.70,7389
1738574399,872.07,873.00,8811
1738574458,871.78,869.75,10149
1738574518,871.41,870.60,11103
1738574579,871.70,875.00,14006
1738574639,871.72,875.00,14135
1738574699,872.11,876.25,15991
1738574758,872.26,879.00,16926
1738574819,872.73,882.55,17632
1738574879,872.92,884.20,17963
1738574938,873.19,882.00,18535
1738574999,873.34,880.60,18884
1738575058,873.41,875.10,19187
1738575119,873.45,875.00,19466
1738575179,873.46,871.60,19897
1738575239,873.10,870.05,22199
1738575298,873.05,867.00,22398
1738575359,872.96,867.00,22748
1738575419,872.71,866.15,23504
1738575479,872.21,865.35,25526
1738575539,872.05,863.00,26013
1738575599,871.76,862.85,26802
1738575659,871.65,865.70,27154
1738575719,871.60,865.55,27375
1738575778,871.58,867.95,27451
1738575839,871.52,865.90,27765
1738575899,871.51,866.35,27851
1738575959,871.50,867.35,27907
1738576019,871.27,867.05,29108
1738576079,871.25,866.05,29201
1738576139,871.12,867.05,30027
1738576199,871.10,865.90,30106
1738576258,871.00,863.70,30580
1738576318,870.97,866.05,30752
1738576379,870.88,864.00,31197
1738576438,870.82,864.10,31496
1738576499,870.80,865.10,31563
1738576559,870.75,861.30,31801
1738576619,870.68,861.00,32037
1738576679,870.59,860.20,32343
1738576739,870.16,862.30,33705
1738576799,870.01,864.30,34358
1738576859,870.00,863.55,34429
1738576918,869.84,866.15,35485
1738576979,869.78,863.75,35929
1738577039,869.77,863.80,35939
1738577097,869.76,865.80,36080
1738577158,869.76,867.05,36085
1738577219,869.74,870.10,36328
1738577279,869.74,868.00,36382
1738577339,869.72,867.45,36753
1738577399,869.71,865.95,36845
1738577459,869.68,868.05,37107
1738577519,869.69,871.00,37196
1738577579,869.69,870.95,37397
1738577639,869.69,869.50,37455
1738577699,869.69,870.00,37506
1738577759,869.69,868.40,37614
1738577819,869.69,867.95,37618
1738577877,869.68,867.55,37709
1738577939,869.68,867.00,37737
1738577999,869.68,867.00,37752
1738578059,869.65,866.65,38109
1738578119,869.64,867.20,38227
1738578179,869.64,867.95,38258
1738578239,869.60,866.80,39275
1738578299,869.59,865.75,39368
1738578358,869.58,866.00,39463
1738578419,869.58,866.00,39494
1738578479,869.56,865.70,39685
1738578539,869.56,865.45,39721
1738578599,869.42,864.05,40884
1738578659,869.40,865.45,40979
1738578719,869.39,864.65,41057
1738578779,869.38,864.90,41138
1738578839,869.06,863.40,43311
1738578899,869.02,863.25,43650
1738578955,869.02,865.10,43674
1738579019,869.00,864.45,43778
1738579079,869.00,862.00,43831
1738579139,868.99,861.80,43869
1738579196,868.98,861.65,43933
1738579259,868.97,861.75,43986
1738579319,868.94,861.70,44143
1738579379,868.93,863.25,44221
1738579439,868.90,865.10,44442
1738579499,868.81,864.50,45238
1738579559,868.81,865.20,45319
1738579616,868.80,865.10,45398
1738579679,868.80,865.20,45425
1738579739,868.79,865.10,45469
1738579799,868.78,864.80,45675
1738579859,868.77,866.65,45745
1738579919,868.77,866.60,45760
1738579979,868.77,865.00,45836
1738580034,868.75,863.65,45985
1738580098,868.74,864.25,46115
1738580158,868.74,864.00,46125
1738580219,868.71,864.00,46365
1738580279,868.71,864.45,46390
1738580339,868.71,864.00,46441
1738580399,868.70,864.25,46537
1738580459,868.64,866.00,47477
1738580518,868.63,865.00,47646
1738580575,868.63,865.40,47740
1738580639,868.63,866.15,47778
1738580699,868.60,866.10,48089
1738580759,868.59,864.90,48140
1738580819,868.58,864.60,48276
1738580879,868.57,864.80,48425
1738580935,868.56,864.00,48484
1738580996,868.56,864.05,48511
1738581059,868.44,863.00,49572
1738581119,868.43,864.00,49672
1738581179,868.42,863.95,49750
1738581239,868.41,863.15,49914
1738581299,868.39,864.80,50148
1738581359,868.39,865.05,50189
1738581419,868.39,867.05,50191
1738581478,868.38,867.05,50197
1738581539,868.38,868.60,50245
1738581599,868.38,868.60,50276
1738581654,868.39,869.95,50759
1738581719,868.39,866.05,50868
1738581777,868.37,865.45,51399
1738581837,868.37,865.00,51430
1738581897,868.31,864.35,52024
1738581957,868.29,862.85,52174
1738582019,868.29,863.30,52186
1738582079,868.29,862.35,52216
1738582139,868.26,862.55,52482
1738582196,868.23,860.30,52682
1738582258,868.14,860.65,53281
1738582318,868.09,861.20,53599
1738582379,868.08,860.95,53672
1738582438,868.07,859.50,53728
1738582499,868.03,858.80,53935
1738582559,868.02,860.70,54009
1738582619,868.01,859.50,54120
1738582677,867.98,859.10,54280
1738582737,867.86,858.70,55002
1738582797,867.82,857.90,55221
1738582858,867.81,857.40,55270
1738582919,867.74,856.35,55627
1738582979,867.70,856.30,55800
1738583039,867.62,856.00,56193
1738583099,867.62,857.10,56206
1738583158,867.60,857.15,56305
1738583215,867.59,857.25,56359
1738583279,867.58,857.00,56403
1738583338,867.58,857.00,56403
1738583399,867.56,859.20,56503
1738583459,867.42,857.15,57243
1738583519,867.42,856.80,57270
1738583579,867.42,857.35,57279
1738583638,867.41,856.80,57295
1738583696,867.20,856.00,58452
1738583759,867.16,857.15,58632
1738583819,867.16,858.90,58656
1738583879,867.12,857.00,58896
1738583939,867.12,858.50,58920
1738583996,867.10,858.40,59039
1738584056,867.10,858.80,59066
1738584119,867.09,858.70,59103
1738584179,867.01,858.85,59691
1738584238,866.98,858.15,59852
1738584298,866.98,857.10,59861
1738584359,866.97,857.15,59967
1738584418,866.95,857.85,60073
1738584479,866.94,857.75,60149
1738584535,866.87,856.55,60567
1738584598,866.87,856.55,60567
1738584655,866.85,857.50,60641
1738584718,866.85,858.00,60702
1738584777,866.84,857.40,60748
1738584839,866.82,858.15,60871
1738584892,866.81,858.30,60976
1738584957,866.81,858.90,60982
1738585019,866.81,858.90,60982
1738585076,866.80,858.35,61038
1738585138,866.79,858.40,61111
1738585199,866.76,856.05,61266
1738585256,866.75,856.55,61328
1738585317,866.68,855.60,61730
