t,ap,cp,v
1738573673,898.50,898.50,60
1738573697,898.50,898.50,60
1738573740,898.50,898.50,60
1738574159,898.50,898.50,60
1738574219,896.00,893.50,120
1738574279,894.54,888.75,157
1738574339,894.12,892.15,195
1738574399,894.04,890.10,199
1738574459,893.97,890.05,203
1738574519,893.96,891.90,204
1738574578,893.95,892.80,222
1738574639,893.96,894.65,226
1738574699,893.96,894.65,226
1738574759,893.96,894.65,226
1738574819,894.07,896.50,237
1738574879,894.10,902.10,238
1738574939,894.10,902.10,238
1738574999,895.30,901.75,282
1738575059,895.30,901.75,282
1738575119,895.33,903.50,283
1738575179,895.33,903.50,283
1738575239,895.33,903.50,283
1738575299,895.33,903.50,283
1738575359,895.33,903.50,283
1738575419,896.29,904.10,313
1738575478,896.33,901.15,316
1738575539,896.39,897.30,324
1738575595,896.39,897.30,324
1738575659,896.39,897.30,324
1738575719,896.69,897.50,443
1738575779,896.72,899.10,451
1738575839,896.72,899.10,451
1738575894,896.72,899.10,451
1738575959,896.72,899.10,451
1738576017,896.72,899.10,451
1738576079,897.24,897.55,878
1738576139,897.24,897.00,879
1738576199,897.24,897.00,879
1738576259,897.24,897.00,879
1738576319,897.24,897.00,879
1738576379,897.24,897.00,879
1738576439,897.24,897.00,879
1738576499,897.24,897.00,879
1738576559,897.24,897.00,879
1738576619,897.24,897.00,879
1738576679,897.29,898.95,906
1738576739,897.29,898.95,906
1738576799,897.29,898.95,906
1738576859,897.29,901.05,907
1738576919,897.29,901.05,907
1738576979,897.29,901.05,907
1738577038,897.29,901.05,907
1738577099,897.29,901.05,907
1738577159,897.29,901.05,907
1738577219,897.35,900.45,924
1738577279,897.35,900.45,924
1738577339,897.35,900.45,924
1738577399,897.35,900.45,924
1738577459,897.36,902.10,925
1738577519,897.36,902.10,925
1738577579,897.36,902.10,925
1738577639,897.36,902.10,925
1738577699,897.36,902.10,925
1738577759,897.36,902.10,925
1738577818,897.36,902.10,925
1738577879,897.36,902.10,925
1738577939,897.36,902.10,925
1738577998,897.36,902.10,925
