t,ap,cp,v
1738573664,367.35,367.35,4544
1738573682,367.35,367.35,4544
1738573740,367.35,367.35,4544
1738573805,367.35,367.35,4544
1738574159,363.01,360.75,20553
1738574218,362.42,358.65,25157
1738574279,362.04,360.00,29195
1738574337,361.64,358.75,34004
1738574399,361.44,358.45,36733
1738574459,361.01,357.75,43020
1738574519,360.54,357.00,49379
1738574579,360.44,357.85,51143
1738574639,360.40,357.65,51778
1738574699,360.26,357.65,54902
1738574759,360.22,359.65,56775
1738574819,360.22,360.45,58545
1738574879,360.22,360.05,60995
1738574939,360.20,359.00,61942
1738574999,360.17,359.30,64175
1738575059,360.13,358.70,66072
1738575119,360.09,359.30,68350
1738575179,360.05,358.60,71403
1738575239,359.99,357.50,73308
1738575299,359.82,356.00,77600
1738575359,359.20,355.65,89346
1738575419,359.11,355.25,91448
1738575479,359.00,355.00,93842
1738575539,358.78,354.25,98692
1738575599,358.70,353.00,100289
1738575659,358.57,354.00,102834
1738575719,358.36,353.40,107024
1738575779,358.11,353.80,112680
1738575839,358.05,353.45,114150
1738575899,357.99,353.45,115836
1738575959,357.93,353.30,117144
1738576019,357.86,354.05,119109
1738576079,357.73,353.00,122386
1738576139,357.71,352.65,123019
1738576199,357.66,352.40,124048
1738576259,357.48,352.55,128219
1738576319,357.44,352.55,129207
1738576379,357.41,352.30,130029
1738576439,357.39,352.45,130711
1738576499,357.36,352.60,131288
1738576559,357.32,353.35,132830
1738576619,357.28,354.00,134370
1738576679,357.26,354.30,135490
1738576739,357.16,354.00,139665
1738576799,357.10,354.30,142898
1738576859,357.04,354.10,146338
1738576919,357.01,355.45,148544
1738576979,357.01,355.15,149359
1738577039,356.99,355.40,150176
1738577099,356.99,355.35,150809
1738577159,356.98,355.35,151083
1738577219,356.98,355.70,151639
1738577279,356.94,356.25,158910
1738577339,356.93,355.40,159990
1738577399,356.92,355.45,161105
1738577459,356.92,356.25,161689
1738577519,356.91,356.45,162490
1738577579,356.91,356.70,163235
1738577639,356.89,355.60,167088
1738577699,356.88,355.85,167987
1738577759,356.87,355.20,168968
1738577819,356.86,354.85,170001
1738577879,356.85,355.05,170582
1738577939,356.84,355.05,172043
1738577999,356.84,355.20,172071
1738578059,356.83,354.90,172756
1738578119,356.83,355.00,173088
1738578179,356.83,355.60,173180
1738578239,356.81,355.50,175627
1738578299,356.81,355.50,175823
1738578359,356.80,355.55,176378
1738578419,356.80,355.80,176503
1738578479,356.80,355.45,177109
1738578539,356.80,355.25,177200
1738578599,356.78,354.90,178567
1738578659,356.72,355.65,185855
1738578719,356.72,355.95,186279
1738578779,356.72,355.10,186803
1738578839,356.70,354.95,188005
1738578899,356.70,355.15,188280
1738578959,356.70,355.40,189264
1738579019,356.69,355.45,189687
1738579079,356.69,355.30,190554
1738579139,356.69,355.50,190767
1738579199,356.68,355.40,191114
1738579259,356.68,355.20,191234
1738579319,356.67,355.25,192149
1738579379,356.67,355.90,192712
1738579439,356.67,356.10,193271
1738579499,356.65,355.60,196744
1738579559,356.64,355.70,198881
1738579619,356.64,356.80,201013
1738579679,356.64,356.60,202697
1738579739,356.62,355.60,208640
1738579799,356.62,355.50,209726
1738579859,356.61,355.50,209847
1738579919,356.59,355.00,213104
1738579979,356.58,354.60,213856
1738580039,356.58,354.10,214385
1738580099,356.57,354.00,215110
1738580159,356.57,354.15,215212
1738580219,356.57,354.30,215246
1738580279,356.56,354.75,216144
1738580339,356.56,355.30,216212
1738580399,356.56,355.60,216441
1738580459,356.56,355.75,217073
1738580519,356.56,355.85,217208
1738580579,356.55,355.65,217738
1738580639,356.54,355.45,219431
1738580699,356.54,355.35,219554
1738580759,356.54,355.40,220556
1738580819,356.54,355.95,220745
1738580879,356.53,355.70,221613
1738580939,356.53,355.35,222039
1738580999,356.52,355.35,223347
1738581059,356.52,355.30,223692
1738581119,356.52,355.65,223888
1738581179,356.52,355.30,224227
1738581239,356.50,355.45,229540
1738581299,356.49,355.65,229774
1738581359,356.49,355.65,229951
1738581419,356.49,355.85,230211
1738581479,356.49,356.15,230986
1738581537,356.49,355.65,231044
1738581599,356.49,355.75,231335
1738581659,356.49,355.15,231557
1738581719,356.49,355.40,231694
1738581779,356.48,354.80,232838
1738581839,356.48,354.80,233008
1738581899,356.48,354.50,233540
1738581959,356.47,354.75,233718
1738582019,356.47,354.80,234627
1738582079,356.46,354.45,235763
1738582139,356.45,354.50,236074
1738582199,356.45,354.45,236118
1738582259,356.45,354.60,236266
1738582319,356.45,354.35,236787
1738582379,356.45,354.85,236832
1738582439,356.45,354.65,237017
1738582499,356.44,354.20,238075
1738582559,356.44,354.45,238279
1738582619,356.43,354.45,238396
1738582679,356.42,353.50,239610
1738582739,356.42,353.80,239933
1738582799,356.34,353.55,246062
1738582859,356.33,352.95,246668
1738582919,356.33,352.85,246772
1738582979,356.32,352.75,247180
1738583039,356.32,352.65,247241
1738583099,356.31,353.05,248527
1738583159,356.30,352.95,248635
1738583219,356.30,353.20,248774
1738583279,356.29,353.50,250080
1738583339,356.28,354.00,250370
1738583399,356.28,354.50,250854
1738583459,356.28,354.25,251284
