t,ap,cp,v
1738578837,20.95,20.95,3000
1738578882,20.95,20.95,3000
1738578935,20.95,20.95,3000
1738579226,20.95,20.95,3000
1738579329,20.95,20.95,3000
1738580350,20.95,20.95,3000
1738580465,20.95,20.95,3000
1738580553,20.95,20.95,3000
1738580614,20.95,20.95,3000
1738584334,20.95,20.95,3000
1738585278,20.95,20.95,3000
1738585795,20.95,20.95,3000
1738586219,20.79,20.64,6000
1738586886,20.79,20.64,6000
1738587776,20.79,20.64,6000
1738587833,20.79,20.64,6000
1738588008,20.79,20.64,6000
1738588143,20.79,20.64,6000
1738588678,20.79,20.64,6000
1738588869,20.74,20.63,9000
1738589062,20.74,20.63,9000
1738590284,20.74,20.63,9000
1738590345,20.74,20.63,9000
1738590457,20.74,20.63,9000
1738591057,20.74,20.63,9000
1738591193,20.74,20.63,9000
1738593090,20.74,20.63,9000
1738593237,20.74,20.63,9000
1738595426,20.70,20.60,12000
1738595529,20.70,20.60,12000
1738595980,20.70,20.60,12000
1738596602,20.70,20.60,12000
1738596684,20.70,20.60,12000
1738597201,20.70,20.60,12000
1738598403,20.70,20.60,12000
t,ap,cp,v
1738578837,20.95,20.95,3000
1738578882,20.95,20.95,3000
1738578935,20.95,20.95,3000
1738579226,20.95,20.95,3000
1738579329,20.95,20.95,3000
1738580350,20.95,20.95,3000
1738580465,20.95,20.95,3000
1738580553,20.95,20.95,3000
1738580614,20.95,20.95,3000
1738584334,20.95,20.95,3000
1738585278,20.95,20.95,3000
1738585795,20.95,20.95,3000
1738586219,20.79,20.64,6000
1738586886,20.79,20.64,6000
1738587776,20.79,20.64,6000
1738587833,20.79,20.64,6000
1738588008,20.79,20.64,6000
1738588143,20.79,20.64,6000
1738588678,20.79,20.64,6000
1738588869,20.74,20.63,9000
1738589062,20.74,20.63,9000
1738590284,20.74,20.63,9000
1738590345,20.74,20.63,9000
1738590457,20.74,20.63,9000
1738591057,20.74,20.63,9000
1738591193,20.74,20.63,9000
1738593090,20.74,20.63,9000
1738593237,20.74,20.63,9000
1738595426,20.70,20.60,12000
1738595529,20.70,20.60,12000
1738595980,20.70,20.60,12000
1738596602,20.70,20.60,12000
1738596684,20.70,20.60,12000
1738597201,20.70,20.60,12000
1738598403,20.70,20.60,12000
t,ap,cp,v
1738578837,20.95,20.95,3000
1738578882,20.95,20.95,3000
1738578935,20.95,20.95,3000
1738579226,20.95,20.95,3000
1738579329,20.95,20.95,3000
1738580350,20.95,20.95,3000
1738580465,20.95,20.95,3000
1738580553,20.95,20.95,3000
1738580614,20.95,20.95,3000
1738584334,20.95,20.95,3000
1738585278,20.95,20.95,3000
1738585795,20.95,20.95,3000
1738586219,20.79,20.64,6000
1738586886,20.79,20.64,6000
1738587776,20.79,20.64,6000
1738587833,20.79,20.64,6000
1738588008,20.79,20.64,6000
1738588143,20.79,20.64,6000
1738588678,20.79,20.64,6000
1738588869,20.74,20.63,9000
1738589062,20.74,20.63,9000
1738590284,20.74,20.63,9000
1738590345,20.74,20.63,9000
1738590457,20.74,20.63,9000
1738591057,20.74,20.63,9000
1738591193,20.74,20.63,9000
1738593090,20.74,20.63,9000
1738593237,20.74,20.63,9000
1738595426,20.70,20.60,12000
1738595529,20.70,20.60,12000
1738595980,20.70,20.60,12000
1738596602,20.70,20.60,12000
1738596684,20.70,20.60,12000
1738597201,20.70,20.60,12000
1738598403,20.70,20.60,12000
1738578837,20.95,20.95,3000
1738578882,20.95,20.95,3000
1738578935,20.95,20.95,3000
1738579226,20.95,20.95,3000
1738579329,20.95,20.95,3000
1738580350,20.95,20.95,3000
1738580465,20.95,20.95,3000
1738580553,20.95,20.95,3000
1738580614,20.95,20.95,3000
1738584334,20.95,20.95,3000
1738585278,20.95,20.95,3000
1738585795,20.95,20.95,3000
1738586219,20.79,20.64,6000
1738586886,20.79,20.64,6000
1738587776,20.79,20.64,6000
1738587833,20.79,20.64,6000
1738588008,20.79,20.64,6000
1738588143,20.79,20.64,6000
1738588678,20.79,20.64,6000
1738588869,20.74,20.63,9000
1738589062,20.74,20.63,9000
1738590284,20.74,20.63,9000
1738590345,20.74,20.63,9000
1738590457,20.74,20.63,9000
1738591057,20.74,20.63,9000
1738591193,20.74,20.63,9000
1738593090,20.74,20.63,9000
1738593237,20.74,20.63,9000
1738595426,20.70,20.60,12000
1738595529,20.70,20.60,12000
1738595980,20.70,20.60,12000
1738596602,20.70,20.60,12000
1738596684,20.70,20.60,12000
1738597201,20.70,20.60,12000
1738598403,20.70,20.60,12000
1738578837,20.95,20.95,3000
1738578882,20.95,20.95,3000
1738578935,20.95,20.95,3000
1738579226,20.95,20.95,3000
1738579329,20.95,20.95,3000
1738580350,20.95,20.95,3000
1738580465,20.95,20.95,3000
1738580553,20.95,20.95,3000
1738580614,20.95,20.95,3000
1738584334,20.95,20.95,3000
1738585278,20.95,20.95,3000
1738585795,20.95,20.95,3000
1738586219,20.79,20.64,6000
1738586886,20.79,20.64,6000
1738587776,20.79,20.64,6000
1738587833,20.79,20.64,6000
1738588008,20.79,20.64,6000
1738588143,20.79,20.64,6000
1738588678,20.79,20.64,6000
1738588869,20.74,20.63,9000
1738589062,20.74,20.63,9000
1738590284,20.74,20.63,9000
1738590345,20.74,20.63,9000
1738590457,20.74,20.63,9000
1738591057,20.74,20.63,9000
1738591193,20.74,20.63,9000
1738593090,20.74,20.63,9000
1738593237,20.74,20.63,9000
1738595426,20.70,20.60,12000
1738595529,20.70,20.60,12000
1738595980,20.70,20.60,12000
1738596602,20.70,20.60,12000
1738596684,20.70,20.60,12000
1738597201,20.70,20.60,12000
1738598403,20.70,20.60,12000
1738578837,20.95,20.95,3000
1738578882,20.95,20.95,3000
1738578935,20.95,20.95,3000
1738579226,20.95,20.95,3000
1738579329,20.95,20.95,3000
1738580350,20.95,20.95,3000
1738580465,20.95,20.95,3000
1738580553,20.95,20.95,3000
1738580614,20.95,20.95,3000
1738584334,20.95,20.95,3000
1738585278,20.95,20.95,3000
1738585795,20.95,20.95,3000
1738586219,20.79,20.64,6000
1738586886,20.79,20.64,6000
1738587776,20.79,20.64,6000
1738587833,20.79,20.64,6000
1738588008,20.79,20.64,6000
1738588143,20.79,20.64,6000
1738588678,20.79,20.64,6000
1738588869,20.74,20.63,9000
1738589062,20.74,20.63,9000
1738590284,20.74,20.63,9000
1738590345,20.74,20.63,9000
1738590457,20.74,20.63,9000
1738591057,20.74,20.63,9000
1738591193,20.74,20.63,9000
1738593090,20.74,20.63,9000
1738593237,20.74,20.63,9000
1738595426,20.70,20.60,12000
1738595529,20.70,20.60,12000
1738595980,20.70,20.60,12000
1738596602,20.70,20.60,12000
1738596684,20.70,20.60,12000
1738597201,20.70,20.60,12000
1738598403,20.70,20.60,12000
1738578837,20.95,20.95,3000
1738578882,20.95,20.95,3000
1738578935,20.95,20.95,3000
1738579226,20.95,20.95,3000
1738579329,20.95,20.95,3000
1738580350,20.95,20.95,3000
1738580465,20.95,20.95,3000
1738580553,20.95,20.95,3000
1738580614,20.95,20.95,3000
1738584334,20.95,20.95,3000
1738585278,20.95,20.95,3000
1738585795,20.95,20.95,3000
1738586219,20.79,20.64,6000
1738586886,20.79,20.64,6000
1738587776,20.79,20.64,6000
1738587833,20.79,20.64,6000
1738588008,20.79,20.64,6000
1738588143,20.79,20.64,6000
1738588678,20.79,20.64,6000
1738588869,20.74,20.63,9000
1738589062,20.74,20.63,9000
1738590284,20.74,20.63,9000
1738590345,20.74,20.63,9000
1738590457,20.74,20.63,9000
1738591057,20.74,20.63,9000
1738591193,20.74,20.63,9000
1738593090,20.74,20.63,9000
1738593237,20.74,20.63,9000
1738595426,20.70,20.60,12000
1738595529,20.70,20.60,12000
1738595980,20.70,20.60,12000
1738596602,20.70,20.60,12000
1738596684,20.70,20.60,12000
1738597201,20.70,20.60,12000
1738598403,20.70,20.60,12000
