t,ap,cp,v
1738573635,3553.00,3553.00,287
1738573741,3553.00,3553.00,287
1738574159,3567.02,3576.15,1199
1738574219,3567.47,3567.95,1873
1738574279,3568.96,3578.95,2284
1738574339,3572.61,3584.30,3047
1738574399,3573.37,3579.70,3519
1738574459,3577.02,3584.80,5736
1738574518,3578.14,3589.75,6499
1738574579,3578.99,3596.55,6818
1738574639,3581.08,3605.50,7499
1738574699,3583.53,3607.70,8250
1738574758,3586.35,3612.40,9424
1738574819,3588.63,3628.00,10094
1738574879,3596.59,3635.10,12237
1738574939,3599.36,3631.90,13276
1738574999,3600.48,3630.65,13727
1738575059,3601.55,3632.30,14211
1738575119,3602.96,3628.65,14877
1738575179,3603.67,3633.15,15335
1738575239,3604.25,3623.15,15842
1738575299,3604.73,3623.25,16272
1738575359,3605.12,3624.00,16652
1738575419,3606.61,3627.00,18001
1738575479,3606.77,3608.00,18450
1738575539,3606.79,3606.60,19790
1738575599,3606.93,3616.75,20259
1738575659,3607.27,3615.30,21196
1738575719,3607.53,3610.60,21703
1738575779,3607.72,3618.90,22152
1738575839,3607.79,3612.85,22398
1738575899,3607.81,3607.10,22534
1738575959,3607.81,3606.90,22709
1738576019,3607.82,3607.00,22821
1738576079,3607.80,3607.30,23083
1738576139,3607.80,3606.35,23357
1738576199,3607.80,3607.00,23537
1738576257,3607.75,3595.75,23807
1738576319,3607.54,3598.35,24315
1738576379,3607.42,3600.00,24704
1738576439,3607.44,3612.40,25022
1738576499,3607.56,3612.80,25438
1738576559,3607.68,3608.55,26044
1738576619,3607.69,3610.50,26207
1738576679,3607.81,3605.65,27014
1738576739,3607.80,3606.15,27069
1738576799,3607.80,3608.90,27141
1738576859,3607.79,3600.85,27405
1738576919,3607.74,3600.95,27645
1738576978,3607.67,3600.00,27843
1738577039,3607.63,3600.75,27995
1738577099,3607.63,3600.00,28015
1738577159,3607.60,3603.70,28142
1738577219,3607.60,3606.90,28236
1738577279,3607.59,3603.90,28365
1738577339,3607.59,3607.00,28441
1738577399,3607.58,3606.35,28537
1738577459,3607.82,3617.80,29372
1738577519,3607.83,3609.50,29481
1738577579,3607.84,3612.50,29522
1738577639,3607.85,3613.30,29594
1738577699,3608.48,3625.00,30903
1738577759,3608.63,3616.30,31219
1738577819,3608.68,3617.50,31427
1738577879,3608.71,3612.30,31616
1738577939,3608.72,3612.70,31693
1738577999,3608.70,3606.55,31952
1738578059,3608.73,3618.35,32187
1738578119,3608.77,3612.15,32424
1738578179,3608.78,3615.35,32510
1738578239,3608.92,3625.00,32913
1738578299,3609.01,3623.05,33089
1738578359,3609.02,3618.25,33122
1738578419,3609.03,3617.20,33163
1738578479,3609.04,3621.15,33191
1738578539,3609.07,3619.60,33291
1738578599,3609.12,3620.55,33446
1738578659,3609.13,3620.50,33501
1738578719,3609.16,3622.15,33574
1738578779,3609.18,3620.00,33635
1738578839,3609.25,3619.15,33856
1738578899,3609.34,3625.00,34083
1738578959,3609.48,3628.00,34365
1738579019,3609.83,3627.25,34965
1738579079,3609.87,3624.70,35049
1738579139,3609.88,3626.00,35075
1738579199,3610.07,3627.00,35475
1738579259,3610.14,3627.35,35616
1738579319,3610.72,3623.45,36946
1738579379,3610.74,3619.10,37027
1738579439,3610.76,3615.95,37123
1738579499,3610.77,3617.70,37190
1738579559,3610.87,3609.70,38043
1738579619,3610.82,3607.70,38341
1738579679,3610.83,3612.05,38441
1738579739,3610.80,3605.00,38633
1738579799,3610.79,3607.85,38886
1738579859,3610.79,3612.70,38961
1738579919,3610.80,3609.85,39142
1738579979,3610.80,3609.00,39271
1738580039,3610.80,3612.20,39288
1738580099,3610.80,3608.70,39313
1738580159,3610.80,3610.05,39346
1738580219,3610.80,3610.00,39391
