t,ap,cp,v
1738577700,4.18,4.18,36
1738577760,4.18,4.18,36
1738579077,4.18,4.18,36
1738579091,4.18,4.00,36
1738579590,4.18,4.00,36
1738579907,4.18,4.00,36
1738580207,4.18,4.00,36
1738580343,4.18,4.00,36
1738580625,4.18,4.00,36
1738580693,4.18,4.00,36
1738581251,4.18,4.00,36
1738581300,4.01,4.00,546
1738581360,4.01,4.00,546
1738583183,4.01,4.00,546
1738584570,4.01,4.00,546
1738584670,4.01,4.00,546
1738584846,4.01,4.00,546
1738584901,4.00,4.00,884
1738584960,4.00,4.00,884
1738585869,4.00,4.00,884
1738586414,4.00,4.00,884
1738586464,4.00,4.00,884
1738586560,4.00,4.00,884
1738587028,4.00,4.00,884
1738587596,4.00,3.96,884
1738588447,4.00,3.96,884
1738588501,4.00,3.96,901
1738588561,4.00,3.96,901
1738592100,4.00,3.96,901
1738592160,4.00,3.96,901
1738593004,4.00,3.96,901
1738593651,4.00,3.96,901
1738593949,4.00,4.00,901
1738595315,4.00,4.00,901
1738595673,4.00,4.00,901
1738595756,4.00,4.00,967
1738595760,4.00,4.00,967
1738596603,4.00,4.00,967
1738596684,4.00,4.00,967
1738598401,4.00,4.00,967
1738598495,4.00,4.00,967
t,ap,cp,v
1738577700,4.18,4.18,36
1738577760,4.18,4.18,36
1738579077,4.18,4.18,36
1738579091,4.18,4.00,36
1738579590,4.18,4.00,36
1738579907,4.18,4.00,36
1738580207,4.18,4.00,36
1738580343,4.18,4.00,36
1738580625,4.18,4.00,36
1738580693,4.18,4.00,36
1738581251,4.18,4.00,36
1738581300,4.01,4.00,546
1738581360,4.01,4.00,546
1738583183,4.01,4.00,546
1738584570,4.01,4.00,546
1738584670,4.01,4.00,546
1738584846,4.01,4.00,546
1738584901,4.00,4.00,884
1738584960,4.00,4.00,884
1738585869,4.00,4.00,884
1738586414,4.00,4.00,884
1738586464,4.00,4.00,884
1738586560,4.00,4.00,884
1738587028,4.00,4.00,884
1738587596,4.00,3.96,884
1738588447,4.00,3.96,884
1738588501,4.00,3.96,901
1738588561,4.00,3.96,901
1738592100,4.00,3.96,901
1738592160,4.00,3.96,901
1738593004,4.00,3.96,901
1738593651,4.00,3.96,901
1738593949,4.00,4.00,901
1738595315,4.00,4.00,901
1738595673,4.00,4.00,901
1738595756,4.00,4.00,967
1738595760,4.00,4.00,967
1738596603,4.00,4.00,967
1738596684,4.00,4.00,967
1738598401,4.00,4.00,967
1738598495,4.00,4.00,967
t,ap,cp,v
1738577700,4.18,4.18,36
1738577760,4.18,4.18,36
1738579077,4.18,4.18,36
1738579091,4.18,4.00,36
1738579590,4.18,4.00,36
1738579907,4.18,4.00,36
1738580207,4.18,4.00,36
1738580343,4.18,4.00,36
