t,ap,cp,v
1738573634,30.47,30.47,7988
1738573725,30.47,30.47,7988
1738573740,30.47,30.47,7988
1738573891,30.47,30.47,7988
1738573957,30.47,30.47,7988
1738574159,30.49,30.51,23145
1738574219,30.53,30.78,32373
1738574278,30.55,30.55,62348
1738574339,30.55,30.59,67438
1738574399,30.55,30.70,72168
1738574458,30.55,30.63,74245
1738574518,30.55,30.61,82836
1738574579,30.56,30.69,87858
1738574639,30.56,30.59,93959
1738574699,30.57,30.70,99575
1738574758,30.58,30.80,112567
1738574819,30.61,31.10,119702
1738574879,30.63,31.17,125998
1738574938,30.65,31.11,131416
1738574999,30.67,31.10,135439
1738575059,30.67,30.94,137697
1738575119,30.68,30.91,141030
1738575179,30.69,30.88,149038
1738575237,30.70,30.83,152007
1738575299,30.70,30.90,154633
1738575359,30.70,30.86,158396
1738575419,30.70,30.88,159838
1738575479,30.72,30.95,173171
1738575539,30.72,30.94,176103
1738575599,30.74,30.95,189284
1738575659,30.74,31.05,194324
1738575719,30.76,31.02,202562
1738575779,30.80,31.14,233011
1738575839,30.81,31.13,235110
1738575899,30.82,31.02,244180
1738575959,30.82,31.01,248667
1738576019,30.83,31.03,268026
1738576079,30.83,31.10,269545
1738576139,30.85,31.10,282133
1738576199,30.85,31.10,282280
1738576257,30.85,31.28,290072
1738576319,30.86,31.30,297249
1738576379,30.89,31.22,313288
1738576439,30.89,31.23,319885
1738576499,30.90,31.27,321810
1738576559,30.91,31.26,329173
1738576619,30.91,31.19,335354
1738576679,30.91,31.14,338083
1738576739,30.92,31.12,345382
1738576799,30.92,31.29,349953
1738576859,30.94,31.33,363443
1738576919,30.96,31.37,384388
1738576979,30.96,31.33,386888
1738577039,30.96,31.33,388218
1738577099,30.99,31.40,412605
1738577159,31.00,31.30,426495
1738577219,31.00,31.27,427793
1738577279,31.00,31.31,432089
1738577339,31.00,31.31,434229
1738577399,31.01,31.26,442522
1738577459,31.01,31.36,448474
1738577519,31.01,31.37,450787
1738577579,31.02,31.36,451778
1738577639,31.02,31.38,457312
1738577699,31.02,31.33,457410
1738577759,31.03,31.16,504300
1738577819,31.03,31.14,509676
1738577876,31.03,31.21,511044
1738577939,31.03,31.15,511518
1738577998,31.03,31.15,512890
1738578059,31.03,31.15,522760
1738578119,31.03,31.10,525623
1738578178,31.03,31.15,526375
1738578238,31.03,31.19,527629
1738578299,31.03,31.13,528473
1738578359,31.03,31.19,530141
1738578418,31.04,31.12,546900
1738578479,31.04,31.09,548066
1738578539,31.04,31.02,548868
1738578599,31.04,31.11,552285
1738578659,31.04,31.10,554357
1738578717,31.04,31.15,557456
1738578778,31.04,31.12,571201
1738578838,31.04,31.13,571766
1738578899,31.04,31.16,572100
1738578958,31.04,31.16,572717
1738579019,31.05,31.23,601092
1738579079,31.05,31.22,603391
1738579139,31.05,31.17,604040
1738579199,31.05,31.17,604284
1738579259,31.05,31.15,605407
1738579319,31.05,31.17,607406
1738579379,31.05,31.18,608636
1738579438,31.05,31.21,613298
1738579498,31.05,31.17,614355
1738579559,31.05,31.22,614996
1738579619,31.05,31.24,617923
1738579679,31.05,31.23,619025
1738579739,31.05,31.22,619088
1738579798,31.05,31.26,619291
1738579859,31.05,31.24,621901
1738579918,31.05,31.26,623341
1738579979,31.05,31.25,623487
1738580039,31.05,31.26,629400
1738580099,31.06,31.25,630042
1738580157,31.06,31.30,631077
1738580219,31.06,31.29,631300
1738580279,31.06,31.30,631644
1738580339,31.06,31.35,632144
