t,ap,cp,v
1738573634,780.05,780.05,12
1738573740,780.05,780.05,12
1738574159,780.46,785.40,13
1738574218,780.46,785.40,13
1738574279,780.46,785.40,13
1738574339,774.15,771.05,48
1738574399,774.65,777.90,56
1738574459,774.65,777.90,56
1738574519,775.28,775.90,81
1738574578,775.28,775.90,81
1738574638,775.28,775.90,81
1738574696,775.28,775.90,81
1738574753,775.42,780.70,84
1738574813,775.42,780.70,84
1738574879,775.42,780.70,84
1738574938,775.52,784.45,85
1738574999,775.80,781.70,89
1738575059,775.80,781.70,89
1738575116,777.53,783.70,114
1738575179,777.53,783.70,114
1738575236,777.53,783.70,114
1738575297,778.41,780.70,166
1738575356,778.41,780.70,166
1738575419,778.41,780.70,166
1738575479,778.41,780.70,166
1738575538,778.46,779.60,226
1738575599,778.44,777.50,242
1738575655,778.44,777.50,242
1738575718,778.51,780.20,252
1738575778,778.65,780.20,275
1738575838,778.66,780.20,278
1738575899,778.66,780.20,278
1738575959,778.66,780.20,278
1738576017,778.32,775.05,314
1738576079,778.29,777.50,324
1738576139,778.29,777.50,324
1738576199,778.29,777.50,324
1738576258,778.29,777.50,324
1738576318,778.22,776.50,337
1738576376,778.22,776.50,337
1738576436,778.23,779.90,338
1738576499,778.23,779.90,338
1738576559,778.23,779.90,338
1738576619,778.23,779.90,338
1738576676,778.23,779.15,339
1738576739,778.12,776.95,371
1738576798,778.12,776.95,371
1738576858,778.10,777.45,381
1738576919,778.10,777.45,381
1738576978,778.11,780.15,382
1738577039,778.23,778.60,415
1738577099,778.28,779.25,433
1738577159,778.28,779.25,433
1738577219,778.28,779.25,433
1738577276,778.46,782.70,467
1738577338,778.48,780.10,474
1738577399,778.48,780.10,474
1738577459,778.48,780.10,474
1738577519,778.41,777.40,526
1738577569,778.66,782.95,558
1738577639,778.66,782.15,559
1738577699,778.66,782.15,559
1738577759,778.66,782.15,559
1738577816,778.66,782.15,559
1738577879,778.66,782.15,559
1738577939,778.66,782.15,559
1738577998,778.66,782.15,559
1738578053,778.66,782.15,559
1738578116,778.66,782.15,559
1738578179,778.70,780.85,569
1738578239,778.70,780.85,569
1738578299,778.70,780.85,569
1738578358,778.70,780.85,569
1738578411,778.70,780.85,569
1738578478,778.70,780.85,569
1738578538,778.69,778.05,592
1738578599,778.69,778.05,592
1738578659,778.69,778.05,592
1738578717,778.69,778.05,592
1738578777,778.69,778.05,592
1738578838,778.68,778.00,602
1738578898,778.68,778.00,603
1738578959,778.68,778.00,603
1738579017,778.68,778.00,603
1738579079,778.51,775.00,649
1738579139,778.51,775.00,649
1738579199,778.51,775.00,649
1738579259,778.51,775.00,649
1738579316,778.51,775.00,649
1738579379,778.26,775.00,699
1738579439,778.26,775.00,699
1738579497,778.26,775.00,699
1738579558,778.26,775.00,699
1738579619,778.26,775.00,699
1738579679,778.25,779.50,742
1738579737,778.25,779.50,742
1738579799,778.25,779.50,742
1738579841,778.25,779.50,742
1738579919,778.47,780.75,872
1738579963,778.47,780.75,872
