t,ap,cp,v
1738573635,2556.85,2556.85,115
1738573682,2556.85,2556.85,115
1738573740,2556.85,2556.85,115
1738574159,2543.13,2538.20,706
1738574219,2549.78,2578.65,1054
1738574279,2564.31,2585.00,1913
1738574339,2568.81,2595.55,2339
1738574399,2571.35,2584.25,2663
1738574459,2572.74,2575.30,3144
1738574519,2573.16,2578.90,3434
1738574579,2573.81,2574.40,3849
1738574639,2573.41,2568.15,4144
1738574697,2573.70,2577.70,4642
1738574759,2575.03,2595.80,5539
1738574819,2578.32,2615.00,6223
1738574879,2579.74,2615.00,6479
1738574939,2580.54,2606.45,6667
1738574999,2582.04,2601.55,7183
1738575059,2583.06,2599.75,7579
1738575119,2584.00,2600.15,7990
1738575179,2584.29,2597.30,8188
1738575239,2584.85,2603.00,8476
1738575297,2586.31,2606.55,9275
1738575359,2586.72,2600.00,9517
1738575419,2587.09,2601.90,9805
1738575479,2587.25,2595.05,9948
1738575539,2587.37,2590.00,10423
1738575599,2587.37,2590.00,10483
1738575659,2587.50,2588.35,10740
1738575719,2587.65,2595.00,11042
1738575779,2587.83,2599.65,11241
1738575839,2587.89,2597.60,11289
1738575899,2588.06,2595.50,11491
1738575959,2588.09,2589.60,11548
1738576017,2588.12,2595.00,11624
1738576079,2590.48,2620.05,12900
1738576139,2591.68,2615.40,13511
1738576199,2591.98,2612.65,13729
1738576259,2592.24,2620.00,13891
1738576319,2592.96,2597.40,14392
1738576379,2593.08,2613.80,14488
1738576439,2593.17,2615.65,14553
1738576499,2593.99,2619.40,15033
1738576559,2594.61,2616.35,15404
1738576619,2596.20,2623.05,16250
1738576679,2596.45,2627.45,16384
1738576739,2597.06,2622.30,16735
1738576799,2597.35,2624.10,16926
1738576859,2597.74,2623.20,17149
1738576919,2598.36,2630.00,17472
1738576979,2599.75,2631.75,18182
1738577039,2600.69,2638.45,18665
1738577099,2601.74,2635.00,19295
1738577159,2602.10,2636.15,19496
1738577219,2602.50,2632.15,19748
1738577279,2602.63,2630.10,19860
1738577338,2605.14,2633.55,21418
1738577399,2605.35,2632.60,21580
1738577459,2605.43,2631.15,21639
1738577519,2606.81,2636.80,22697
1738577579,2607.09,2631.75,22948
1738577639,2607.70,2629.35,23547
1738577699,2608.06,2634.85,23876
1738577759,2608.33,2633.45,24115
1738577819,2608.50,2634.00,24273
1738577879,2609.03,2632.95,24802
1738577939,2609.28,2631.90,25081
1738577999,2609.62,2635.10,25420
1738578059,2609.71,2633.95,25525
1738578119,2610.50,2628.00,26477
1738578179,2610.72,2633.30,26720
1738578239,2610.98,2638.10,26978
1738578299,2611.03,2634.25,27030
1738578359,2611.13,2632.00,27173
1738578419,2611.14,2634.50,27181
1738578479,2611.21,2639.95,27256
1738578539,2611.51,2637.10,27573
1738578599,2611.56,2638.40,27629
1738578659,2611.66,2639.00,27738
1738578719,2611.96,2637.35,28039
1738578779,2612.27,2629.90,28484
1738578839,2612.49,2630.00,28867
1738578898,2612.87,2631.45,29475
1738578959,2612.90,2628.00,29526
1738579019,2612.96,2628.85,29630
1738579079,2612.98,2627.35,29673
1738579139,2613.22,2630.45,30091
1738579199,2613.42,2631.35,30425
1738579259,2613.47,2629.10,30512
1738579319,2613.59,2628.35,30830
1738579379,2613.61,2627.00,30891
1738579439,2613.61,2625.25,30893
1738579499,2613.67,2626.65,31026
1738579559,2613.91,2630.40,31505
1738579619,2614.11,2636.45,31808
1738579679,2614.22,2635.50,31954
1738579739,2614.44,2633.30,32350
1738579799,2614.45,2635.80,32369
1738579859,2614.49,2631.90,32433
1738579919,2614.53,2631.35,32509
1738579979,2614.64,2630.95,32732
1738580039,2614.65,2631.30,32749
1738580099,2614.67,2631.25,32793
1738580159,2614.79,2639.75,32978
1738580219,2615.64,2637.80,34211
1738580279,2615.72,2636.35,34344
1738580339,2615.90,2641.00,34604
1738580399,2616.06,2642.50,34811
1738580459,2616.08,2642.90,34847
1738580519,2616.65,2647.55,35546
1738580579,2616.81,2641.90,35749
1738580639,2616.92,2641.25,35891
1738580699,2616.93,2637.55,35914
1738580759,2617.01,2638.85,36049
1738580819,2617.06,2638.85,36123
1738580879,2617.06,2636.10,36135
1738580939,2617.29,2638.70,36544
1738580999,2617.32,2636.25,36598
1738581059,2617.41,2639.90,36758
1738581119,2617.43,2641.90,36792
1738581179,2617.44,2636.20,36807
1738581239,2617.45,2636.80,36827
1738581299,2617.47,2637.05,36858
1738581359,2617.50,2638.00,36921
1738581419,2617.82,2640.35,37430
1738581479,2617.89,2645.30,37527
1738581539,2617.91,2645.00,37558
1738581599,2617.94,2644.25,37609
1738581659,2618.04,2646.95,37747
1738581719,2618.07,2644.15,37788
1738581779,2618.11,2645.10,37856
1738581839,2618.13,2642.50,37880
1738581899,2618.14,2642.25,37904
1738581959,2618.18,2646.50,37953
1738582019,2619.12,2650.95,39144
1738582079,2619.13,2650.30,39158
1738582139,2619.19,2650.90,39238
1738582198,2619.22,2650.15,39273
1738582259,2619.40,2651.00,39486
1738582319,2619.48,2647.80,39607
1738582379,2619.53,2645.35,39681
