t,ap,cp,v
1738573682,42.65,42.65,1947
1738573741,42.65,42.65,1947
1738574159,42.34,42.40,14555
1738574219,42.34,42.35,16456
1738574279,42.34,42.35,17895
1738574339,42.34,42.41,19981
1738574399,42.34,42.33,21367
1738574459,42.28,42.23,29157
1738574518,42.28,42.11,30040
1738574579,42.28,42.13,30525
1738574639,42.27,42.24,31898
1738574699,42.27,42.30,32442
1738574758,42.27,42.25,34170
1738574819,42.30,42.49,41029
1738574879,42.30,42.49,41079
1738574939,42.31,42.41,42781
1738574999,42.31,42.47,44538
1738575057,42.32,42.38,46567
1738575118,42.32,42.47,47780
1738575178,42.33,42.36,50946
1738575239,42.32,42.24,56629
1738575298,42.32,42.27,58633
1738575359,42.32,42.25,58995
1738575419,42.32,42.25,59174
1738575479,42.31,42.17,61657
1738575539,42.30,42.15,65325
1738575599,42.30,42.02,66547
1738575659,42.30,42.04,66554
1738575718,42.30,42.14,67897
1738575779,42.29,42.21,68234
1738575838,42.29,42.20,71310
1738575894,42.29,42.13,73339
1738575959,42.28,42.07,75595
1738576018,42.28,42.08,77596
1738576078,42.28,42.08,77596
1738576139,42.28,42.10,78721
1738576199,42.27,42.13,79761
1738576258,42.27,42.23,81792
1738576319,42.27,42.19,82327
1738576379,42.27,42.19,82341
1738576436,42.27,42.21,82841
1738576498,42.27,42.16,82914
1738576559,42.27,42.11,83072
1738576618,42.25,42.13,94053
1738576679,42.23,42.09,110272
1738576739,42.16,42.00,159886
1738576799,42.14,42.00,180808
1738576857,42.13,42.04,189956
1738576919,42.13,42.17,194357
1738576978,42.13,42.16,194384
1738577039,42.13,42.15,194437
1738577099,42.13,42.13,198438
1738577159,42.13,42.13,198438
1738577219,42.13,42.16,198478
1738577278,42.13,42.23,199503
1738577339,42.13,42.24,199530
1738577398,42.13,42.22,199542
1738577459,42.13,42.17,200544
1738577519,42.13,42.24,200545
1738577579,42.13,42.33,201344
1738577637,42.13,42.21,201347
1738577698,42.13,42.25,201458
1738577759,42.13,42.16,202339
1738577818,42.13,42.22,203995
1738577877,42.13,42.15,207032
1738577939,42.13,42.20,207038
1738577997,42.13,42.12,207984
1738578059,42.13,42.12,207984
1738578118,42.13,42.17,208233
1738578179,42.13,42.19,208300
1738578238,42.13,42.25,210905
1738578299,42.13,42.22,211406
1738578359,42.13,42.22,211417
1738578415,42.13,42.20,211424
1738578479,42.13,42.20,211424
1738578539,42.14,42.13,214003
1738578599,42.14,42.13,214615
1738578657,42.14,42.13,214619
1738578716,42.14,42.18,214897
1738578778,42.13,42.05,216370
1738578839,42.13,42.09,216378
1738578898,42.13,42.09,216378
1738578959,42.13,42.19,216476
1738579019,42.13,42.19,216481
1738579076,42.13,42.13,216499
1738579139,42.13,42.14,216505
1738579196,42.13,42.11,216655
1738579257,42.13,42.14,216659
1738579319,42.13,42.14,216661
1738579378,42.13,42.18,216723
1738579439,42.13,42.19,216725
1738579499,42.13,42.19,216725
1738579559,42.13,42.16,216784
1738579619,42.13,42.18,216805
1738579678,42.13,42.22,216820
1738579737,42.13,42.17,216849
1738579798,42.13,42.13,217269
1738579858,42.13,42.13,217269
1738579919,42.13,42.11,217590
1738579976,42.13,42.07,219391
1738580036,42.13,42.07,219392
1738580098,42.13,42.06,222082
1738580156,42.13,42.06,222092
1738580219,42.13,42.09,222312
1738580278,42.13,42.09,222312
1738580339,42.13,42.09,222312
1738580399,42.13,42.14,222408
1738580457,42.13,42.15,223071
1738580519,42.13,42.19,223072
1738580578,42.13,42.19,223072
1738580639,42.13,42.19,223072
1738580699,42.13,42.18,223922
1738580759,42.13,42.18,223922
1738580815,42.13,42.12,223924
1738580879,42.13,42.15,224124
1738580938,42.13,42.16,224149
1738580999,42.13,42.15,224848
1738581055,42.13,42.15,224848
1738581119,42.13,42.15,225548
1738581179,42.13,42.18,225613
1738581239,42.13,42.16,225863
1738581299,42.13,42.16,225884
1738581354,42.13,42.19,225994
1738581418,42.13,42.19,226004
1738581474,42.13,42.20,227563
1738581539,42.13,42.24,227573
1738581594,42.13,42.24,227576
1738581654,42.13,42.18,228576
1738581716,42.13,42.18,228576
1738581779,42.13,42.10,228678
1738581838,42.13,42.10,228678
1738581899,42.13,42.07,230961
1738581959,42.13,42.09,231154
1738582019,42.13,42.08,231160
1738582078,42.13,42.08,231178
1738582139,42.13,42.07,233108
1738582195,42.13,42.07,233108
1738582258,42.13,42.07,233108
1738582319,42.13,42.04,238260
1738582376,42.13,42.04,238260
1738582439,42.13,42.06,238261
1738582499,42.13,42.01,242741
1738582559,42.13,42.01,242741
1738582618,42.13,42.01,242741
1738582675,42.12,42.03,255741
1738582737,42.12,41.93,256411
1738582797,42.12,41.90,258925
1738582859,42.12,41.91,261347
1738582919,42.12,41.89,261419
1738582978,42.12,41.89,261619
1738583034,42.12,41.89,261619
1738583099,42.12,41.95,261620
1738583158,42.12,41.94,261621
1738583217,42.12,41.93,261821
1738583278,42.12,41.98,262073
1738583338,42.12,42.00,262074
1738583386,42.12,41.99,262082
1738583456,42.12,41.99,262283
1738583519,42.11,41.93,267166
1738583578,42.11,41.90,271589
1738583639,42.11,41.89,273394
1738583698,42.11,41.89,273394
1738583757,42.11,41.91,273430
1738583819,42.11,41.89,275094
1738583877,42.11,41.89,275094
1738583935,42.11,41.90,275119
1738583993,42.11,41.93,275173
1738584058,42.11,41.93,275173
1738584117,42.11,41.91,275198
1738584174,42.11,41.93,275234
1738584233,42.11,41.93,275234
1738584290,42.11,41.93,275239
