t,ap,cp,v
1738573634,111.85,111.85,1037
1738573733,111.85,111.85,1037
1738573740,111.85,111.85,1037
1738574087,111.85,111.85,1037
1738574159,110.67,110.60,16329
1738574219,110.55,110.30,21971
1738574279,110.53,110.40,26161
1738574339,110.47,110.20,33812
1738574398,110.49,110.55,37679
1738574459,110.49,110.70,38871
1738574519,110.48,110.45,41940
1738574579,110.47,110.45,52233
1738574639,110.47,110.40,52827
1738574698,110.46,110.40,53742
1738574759,110.46,110.70,63445
1738574819,110.48,110.90,66598
1738574879,110.54,111.20,71704
1738574939,110.54,111.20,72216
1738574999,110.55,111.25,73334
1738575059,110.57,111.05,77604
1738575119,110.57,111.15,77795
1738575179,110.59,110.80,80789
1738575239,110.59,110.50,83123
1738575298,110.59,110.50,83520
1738575359,110.59,110.50,84502
1738575419,110.57,110.35,90072
1738575479,110.54,110.25,96947
1738575539,110.50,109.90,104823
1738575599,110.48,109.60,108168
1738575659,110.44,109.90,114619
1738575719,110.43,109.90,115436
1738575779,110.42,110.00,119557
1738575839,110.41,110.00,121215
1738575899,110.39,110.00,127086
1738575959,110.38,109.65,128360
1738576017,110.37,109.80,129938
1738576079,110.37,109.75,130047
1738576136,110.37,109.75,131362
1738576198,110.35,109.55,134539
1738576259,110.34,109.55,136911
1738576319,110.33,109.70,137683
1738576379,110.32,109.40,140159
1738576439,110.31,109.45,141558
1738576499,110.31,109.35,142054
1738576559,110.30,109.55,142660
1738576619,110.30,109.40,143486
1738576679,110.29,109.40,144342
1738576739,110.29,109.40,144626
1738576799,110.28,109.45,145837
1738576859,110.28,109.40,146008
1738576919,110.28,109.75,146010
1738576979,110.28,109.50,146736
1738577039,110.28,109.50,147352
1738577099,110.28,109.55,147462
1738577159,110.28,109.50,147474
1738577219,110.27,109.65,149511
1738577279,110.27,109.85,149667
1738577339,110.26,109.70,150102
1738577399,110.26,109.75,152333
1738577459,110.25,110.00,158674
1738577519,110.24,110.15,159458
1738577579,110.24,110.25,160670
1738577639,110.24,110.20,161007
1738577699,110.24,110.10,162115
1738577759,110.24,109.75,163126
1738577819,110.24,109.85,163459
1738577878,110.24,110.05,163460
1738577939,110.24,109.80,163586
1738577999,110.24,109.80,164075
1738578059,110.23,109.85,168081
1738578119,110.23,110.05,168201
1738578178,110.23,110.00,169169
1738578239,110.23,110.00,169950
1738578299,110.23,110.00,169960
1738578359,110.23,110.00,170040
1738578419,110.22,110.05,171206
1738578479,110.22,110.05,172414
1738578539,110.22,110.00,172734
1738578599,110.22,109.95,172741
1738578658,110.22,110.00,172857
1738578719,110.22,110.05,174687
1738578779,110.22,109.75,174800
1738578839,110.22,109.85,175215
1738578899,110.21,109.75,177256
1738578959,110.21,110.10,177317
1738579019,110.21,110.10,178944
1738579079,110.21,110.15,179237
1738579139,110.21,110.05,179249
1738579198,110.21,110.05,179354
1738579259,110.21,110.05,179928
1738579319,110.21,110.10,179981
1738579379,110.21,110.30,180831
1738579439,110.21,110.35,180841
1738579499,110.21,110.40,182066
1738579559,110.21,110.40,182766
1738579619,110.22,110.60,184591
1738579679,110.22,110.55,186154
1738579739,110.22,110.15,189401
1738579799,110.22,110.10,189412
1738579858,110.22,110.00,189961
1738579919,110.22,110.05,191361
1738579979,110.22,109.80,191659
1738580039,110.22,109.80,191844
1738580099,110.22,109.70,192107
1738580159,110.22,109.80,192159
1738580219,110.22,109.85,192188
1738580279,110.22,110.00,192391
1738580339,110.22,109.90,192497
1738580399,110.22,110.10,192537
1738580459,110.22,110.20,192871
1738580519,110.22,110.05,193106
1738580579,110.22,110.00,193318
1738580639,110.22,110.15,193328
1738580696,110.22,110.10,193413
1738580759,110.22,110.05,193660
1738580819,110.22,109.95,193670
1738580879,110.22,110.10,193738
1738580939,110.22,110.00,193976
1738580999,110.22,110.05,193982
1738581058,110.22,110.05,193982
1738581119,110.22,110.25,194302
1738581179,110.22,110.20,196364
1738581239,110.22,110.20,196365
1738581299,110.22,110.30,196475
1738581359,110.22,110.40,196498
1738581419,110.22,110.40,196498
1738581479,110.22,110.45,197258
1738581539,110.22,110.55,198290
1738581599,110.22,110.60,198335
1738581659,110.22,110.60,198340
1738581719,110.22,110.35,198922
1738581779,110.22,110.20,199195
1738581839,110.22,110.00,200447
1738581899,110.22,110.05,201531
1738581959,110.22,110.10,201626
1738582019,110.22,110.00,201764
1738582079,110.22,110.00,201764
1738582138,110.22,109.90,202349
1738582199,110.22,109.80,202970
1738582259,110.22,109.80,203026
1738582319,110.22,109.90,203030
1738582379,110.22,109.90,203030
1738582439,110.22,109.90,203086
1738582499,110.22,109.75,203477
1738582559,110.22,109.75,203477
1738582619,110.22,109.75,203477
1738582679,110.20,109.40,208536
1738582739,110.17,109.10,215200
1738582799,110.17,109.10,215270
1738582859,110.15,108.85,219590
1738582919,110.14,108.95,219734
1738582979,110.14,108.95,219884
1738583038,110.14,109.15,220135
1738583099,110.14,109.15,220191
1738583159,110.14,109.25,220749
1738583219,110.14,109.10,221747
1738583279,110.13,109.35,222288
1738583339,110.13,109.50,222809
1738583399,110.13,109.40,223098
1738583459,110.13,109.40,223129
1738583518,110.13,109.30,223132
1738583579,110.13,109.40,223214
