t,ap,cp,v
1738573635,24.10,24.10,6
1738573741,24.10,24.10,6
1738574154,24.10,24.10,6
1738574210,24.10,24.10,6
1738574237,24.10,24.10,6
1738574303,24.10,24.10,6
1738574360,24.10,24.10,6
1738574734,24.10,24.10,6
1738574898,24.10,24.10,6
1738575216,24.10,24.10,6
1738575299,24.10,24.10,6
1738575337,24.10,24.10,6
1738575415,24.10,24.10,6
1738575450,24.10,24.10,6
1738575661,24.10,24.10,6
1738575951,24.12,24.10,856
1738576016,24.12,24.10,856
1738576051,24.12,24.10,856
1738576121,24.12,24.10,856
1738576164,24.12,24.10,856
1738576218,24.12,24.10,856
1738576315,24.12,24.10,856
1738576367,24.12,24.10,856
1738576416,24.12,24.10,856
1738576546,24.12,24.10,856
1738576604,24.12,24.15,857
1738576675,24.12,24.15,857
1738576717,24.12,24.15,857
1738576917,24.12,24.15,857
1738576929,24.12,24.15,857
1738577107,24.12,24.15,857
1738577217,24.26,24.50,1357
1738577457,24.26,24.50,1357
1738577567,24.26,24.80,1358
1738577668,24.26,24.80,1358
1738577754,24.42,24.98,1906
1738577815,24.43,24.98,1957
1738577846,24.44,24.98,1961
1738578198,24.44,24.98,1961
1738578259,24.44,24.98,1962
1738578539,24.45,24.80,2062
1738578614,24.45,24.80,2062
1738578777,24.45,24.96,2063
1738578832,24.45,24.96,2063
1738579117,24.45,24.96,2063
1738579296,24.45,24.96,2063
1738579418,24.45,24.96,2063
1738579863,24.45,24.96,2063
1738580297,24.45,24.96,2063
1738580512,24.45,24.96,2063
1738580521,24.45,24.96,2063
1738580789,24.45,24.96,2063
1738580878,24.45,24.96,2063
1738580950,24.45,24.96,2063
1738581059,24.45,24.96,2063
1738581290,24.45,24.96,2063
1738581646,24.45,24.96,2063
1738581851,24.45,24.96,2063
1738581973,24.45,24.96,2063
1738582311,24.45,24.96,2063
1738582465,24.45,24.96,2063
1738582524,24.45,24.96,2063
1738583162,24.45,24.96,2063
1738583373,24.45,24.96,2063
1738583823,24.45,24.20,2064
1738584057,24.45,24.20,2064
1738584504,24.45,24.20,2064
1738584630,24.45,24.50,2072
1738584723,24.46,24.50,2164
1738584832,24.46,24.50,2164
1738585292,24.46,24.50,2164
1738585550,24.46,24.40,2293
1738585752,24.46,24.40,2293
1738585831,24.46,24.40,2293
1738586369,24.46,24.40,2293
1738587059,24.18,23.75,4647
1738587070,24.18,23.75,4647
1738587144,24.18,23.75,4647
1738587231,24.08,23.01,5320
1738587299,23.93,23.01,6220
1738587354,23.93,23.75,6225
1738587414,23.93,23.75,6225
