t,ap,cp,v
1738573635,545.00,545.00,2
1738573738,545.00,545.00,2
1738573741,545.00,545.00,2
1738574158,535.75,535.85,105
1738574219,535.71,535.25,114
1738574279,535.71,535.25,114
1738574330,535.71,535.25,114
1738574399,535.71,535.25,114
1738574458,535.71,535.25,114
1738574518,536.29,540.60,130
1738574578,536.29,540.60,130
1738574639,536.29,540.60,130
1738574699,541.97,545.00,510
1738574759,543.38,548.85,676
1738574819,543.38,548.85,676
1738574878,543.67,550.65,702
1738574938,543.78,549.85,715
1738574999,543.78,549.85,715
1738575059,544.03,548.25,764
1738575119,545.62,548.65,1023
1738575179,546.57,548.40,1272
1738575239,546.54,545.65,1322
1738575295,546.54,545.65,1322
1738575359,546.54,545.65,1322
1738575419,546.54,545.65,1322
1738575479,546.54,545.65,1322
1738575539,546.54,545.65,1322
1738575597,546.54,545.65,1322
1738575659,546.54,545.65,1322
1738575718,546.54,545.65,1322
1738575779,546.54,545.65,1322
1738575839,546.54,545.65,1322
1738575899,546.53,543.50,1325
1738575959,546.46,539.60,1342
1738576018,546.46,539.60,1342
1738576079,546.45,540.65,1345
1738576139,546.45,540.65,1345
1738576197,546.45,540.65,1345
1738576259,546.45,540.65,1345
1738576314,546.41,541.00,1355
1738576379,546.31,539.65,1375
1738576439,546.31,539.65,1375
1738576498,546.31,539.65,1375
1738576559,545.94,538.50,1445
1738576619,544.91,537.95,1659
1738576679,544.47,537.40,1760
1738576739,544.47,537.40,1760
1738576799,544.47,537.40,1760
1738576859,544.47,537.40,1760
1738576919,544.47,537.40,1760
1738576972,544.47,537.40,1760
1738577038,544.47,537.40,1760
1738577098,544.47,537.40,1760
1738577159,544.47,537.40,1760
1738577214,544.47,537.40,1760
1738577279,544.47,537.40,1760
1738577339,544.47,537.40,1760
1738577396,544.47,537.40,1760
1738577458,544.45,541.25,1772
1738577519,544.45,541.25,1772
1738577578,544.45,541.25,1772
1738577639,544.45,541.25,1772
1738577698,544.45,541.25,1772
1738577750,544.37,539.15,1801
1738577817,544.37,539.15,1801
1738577879,544.37,539.15,1801
1738577939,544.37,539.15,1801
1738577996,544.37,539.15,1801
1738578059,544.37,539.15,1801
1738578115,544.37,539.15,1801
1738578179,544.37,539.15,1801
1738578239,544.37,539.15,1801
1738578298,544.37,539.15,1801
1738578359,544.21,539.75,1859
1738578419,544.21,539.75,1859
1738578478,544.21,539.75,1859
1738578539,542.82,540.75,2585
1738578598,542.82,540.75,2585
1738578657,542.82,540.75,2585
1738578719,542.76,541.70,2711
1738578779,542.76,540.90,2713
1738578839,542.76,540.90,2713
1738578898,542.76,541.25,2714
1738578958,542.76,541.25,2714
1738579019,542.76,541.25,2714
1738579079,542.76,541.25,2714
1738579139,542.76,541.25,2714
1738579196,542.76,541.25,2714
1738579259,542.61,538.70,2814
1738579319,542.61,538.70,2814
1738579376,542.61,538.70,2814
1738579432,542.61,538.70,2814
1738579499,542.61,538.70,2814
1738579559,542.61,538.70,2814
1738579612,542.61,538.70,2814
1738579679,542.61,538.70,2814
1738579735,542.61,538.70,2814
1738579798,542.61,538.70,2814
1738579859,542.61,538.70,2814
1738579919,542.61,538.70,2814
1738579978,542.61,538.70,2814
1738580036,542.61,538.70,2814
1738580099,542.61,538.70,2814
1738580158,542.61,543.10,2815
1738580219,542.61,541.80,2829
1738580278,542.61,541.80,2829
1738580337,542.61,541.80,2829
1738580398,542.61,541.80,2829
1738580459,542.61,541.80,2829
1738580518,542.61,541.80,2829
1738580578,542.61,541.80,2829
1738580639,542.61,541.80,2829
1738580690,542.61,541.80,2829
1738580759,542.61,541.80,2829
1738580818,542.61,541.80,2829
1738580877,542.61,541.80,2829
1738580939,542.61,541.80,2829
1738580999,542.61,541.80,2829
1738581058,542.61,541.80,2829
1738581117,542.61,541.80,2829
1738581176,542.61,541.80,2829
1738581238,542.61,541.80,2829
1738581298,542.61,541.80,2829
1738581353,542.61,541.80,2829
1738581418,542.61,541.80,2829
1738581474,542.61,541.80,2829
1738581539,542.61,541.80,2829
1738581597,542.61,541.80,2829
1738581659,542.61,541.80,2829
1738581717,542.61,541.80,2829
1738581779,542.61,541.80,2829
1738581838,542.61,541.80,2829
1738581898,542.61,541.80,2829
1738581959,542.61,541.80,2829
1738582019,542.61,541.80,2829
1738582079,542.61,541.80,2829
1738582139,542.61,541.80,2829
1738582196,542.61,541.80,2829
1738582253,542.61,541.80,2829
1738582317,542.61,541.80,2829
1738582378,542.61,541.80,2829
1738582439,542.61,541.80,2829
1738582499,542.61,541.80,2829
1738582559,542.61,541.80,2829
1738582617,542.61,541.80,2829
1738582679,542.61,541.80,2829
1738582738,542.61,541.80,2829
1738582788,542.61,541.80,2829
1738582859,542.61,541.80,2829
1738582919,542.61,541.80,2829
1738582979,542.61,541.80,2829
1738583038,542.61,541.80,2829
1738583099,542.61,541.80,2829
1738583159,542.61,541.80,2829
1738583215,542.61,541.80,2829
1738583279,542.61,541.80,2829
1738583337,542.61,541.80,2829
1738583399,542.61,541.80,2829
1738583453,542.61,541.80,2829
1738583519,542.61,541.80,2829
1738583579,542.61,541.80,2829
1738583638,542.61,541.80,2829
1738583698,542.61,541.80,2829
1738583756,542.61,541.80,2829
1738583819,542.61,541.80,2829
1738583879,542.61,541.80,2829
1738583937,542.61,541.80,2829
1738583996,542.61,541.80,2829
1738584059,542.61,541.80,2829
1738584119,542.61,541.80,2829
1738584179,542.61,541.80,2829
1738584235,542.61,542.25,2858
1738584298,542.61,542.25,2858
1738584355,542.61,542.25,2858
1738584419,542.61,542.25,2858
1738584472,542.61,542.25,2858
1738584536,542.61,542.25,2858
