t,ap,cp,v
1738573635,563.15,563.15,2828
1738573727,563.15,563.15,2828
1738573740,563.15,563.15,2828
1738574159,558.91,553.45,8212
1738574219,557.40,549.10,9849
1738574279,556.80,558.80,12483
1738574339,556.83,559.50,12689
1738574399,556.90,558.00,13347
1738574459,556.98,558.60,13924
1738574519,557.00,559.00,14137
1738574579,557.04,557.30,14564
1738574639,557.36,560.75,16282
1738574698,557.45,559.20,16966
1738574759,557.48,560.60,17247
1738574819,557.78,563.15,18809
1738574879,558.37,565.50,20696
1738574939,558.87,564.75,22447
1738574999,559.24,564.90,23844
1738575059,559.34,563.80,24340
1738575119,559.44,561.05,25372
1738575179,559.47,560.15,25905
1738575239,559.55,561.20,26869
1738575298,559.57,562.25,27107
1738575359,559.65,562.10,28338
1738575419,559.66,561.85,28474
1738575479,559.66,561.85,28474
1738575539,559.68,559.60,29183
1738575599,559.68,560.30,29246
1738575659,559.75,562.75,30032
1738575719,559.75,561.55,30111
1738575779,559.78,561.95,30401
1738575839,559.79,563.90,30537
1738575899,559.89,562.45,31278
1738575959,559.91,562.10,31569
1738576017,559.93,563.00,31744
1738576079,559.99,560.95,32788
1738576139,559.99,560.05,33000
1738576199,559.99,560.00,33418
1738576259,559.99,560.00,34041
1738576319,560.00,561.40,34250
1738576379,560.00,560.90,34329
1738576439,560.05,562.55,35502
1738576499,560.16,562.80,36975
1738576559,560.18,563.50,37172
1738576619,560.19,563.90,37310
1738576679,560.21,562.65,37519
1738576739,560.23,563.40,37774
1738576799,560.43,564.05,39618
1738576859,560.48,565.10,40080
1738576919,560.51,565.15,40338
1738576979,560.56,566.00,40698
1738577039,560.69,566.20,41707
1738577099,560.75,566.20,42124
1738577159,560.80,566.65,42450
1738577219,560.83,566.65,42664
1738577279,560.95,566.00,43634
1738577339,561.04,565.60,44468
1738577399,561.04,565.70,44528
1738577459,561.13,568.40,45092
1738577519,561.38,568.25,46813
1738577579,561.44,568.90,47196
1738577639,561.45,567.70,47240
1738577699,561.65,570.75,48372
1738577759,561.86,570.15,49549
1738577819,561.91,569.40,49861
1738577879,562.00,568.60,50536
1738577939,562.05,568.85,50950
1738577999,562.22,570.35,52172
1738578059,562.28,569.45,52613
1738578119,562.29,568.90,52717
1738578179,562.37,568.75,53431
1738578239,562.44,567.50,54181
1738578299,562.46,565.70,54504
1738578359,562.47,564.15,54610
1738578419,562.49,565.50,55166
1738578479,562.54,566.75,55891
1738578539,562.56,566.30,56122
1738578599,562.56,566.00,56227
1738578659,562.59,566.50,56673
1738578719,562.61,567.25,56998
1738578779,562.66,568.15,57474
1738578839,562.72,567.95,58219
1738578898,562.73,567.95,58365
1738578959,562.73,567.85,58372
1738579019,562.73,567.75,58416
1738579079,562.75,568.35,58560
1738579139,562.82,568.85,59286
1738579199,562.84,567.65,59513
1738579259,562.91,568.95,60213
1738579319,562.92,568.35,60301
1738579379,562.93,567.45,60356
1738579439,562.93,568.80,60427
1738579499,562.93,568.25,60432
1738579559,562.93,569.10,60433
1738579619,562.94,569.30,60468
