t,ap,cp,v
1738596362,2.89,2.89,30
1738596542,2.89,2.89,30
1738596603,2.89,2.89,30
1738596678,2.89,2.89,30
1738597200,2.89,2.89,30
1738598400,2.89,2.89,30
t,ap,cp,v
1738596362,2.89,2.89,30
1738596542,2.89,2.89,30
1738596603,2.89,2.89,30
1738596678,2.89,2.89,30
1738597200,2.89,2.89,30
1738598400,2.89,2.89,30
t,ap,cp,v
1738596362,2.89,2.89,30
1738596542,2.89,2.89,30
1738596603,2.89,2.89,30
1738596678,2.89,2.89,30
1738597200,2.89,2.89,30
1738598400,2.89,2.89,30
1738596362,2.89,2.89,30
1738596542,2.89,2.89,30
1738596603,2.89,2.89,30
1738596678,2.89,2.89,30
1738597200,2.89,2.89,30
1738598400,2.89,2.89,30
1738596362,2.89,2.89,30
1738596542,2.89,2.89,30
1738596603,2.89,2.89,30
1738596678,2.89,2.89,30
1738597200,2.89,2.89,30
1738598400,2.89,2.89,30
1738596362,2.89,2.89,30
1738596542,2.89,2.89,30
1738596603,2.89,2.89,30
1738596678,2.89,2.89,30
1738597200,2.89,2.89,30
1738598400,2.89,2.89,30
1738596362,2.89,2.89,30
1738596542,2.89,2.89,30
1738596603,2.89,2.89,30
1738596678,2.89,2.89,30
1738597200,2.89,2.89,30
1738598400,2.89,2.89,30
