t,ap,cp,v
1738573722,21.69,21.69,12548
1738573740,21.69,21.69,12548
1738573912,21.69,21.69,12548
1738574158,21.69,21.69,27064
1738574219,21.69,21.69,43209
1738574279,21.69,21.69,45019
1738574336,21.69,21.69,46349
1738574398,21.69,21.69,47580
1738574458,21.69,21.69,48049
1738574516,21.69,21.69,50331
1738574578,21.69,21.69,50837
1738574639,21.69,21.69,51048
1738574699,21.69,21.69,51315
1738574757,21.69,21.69,51579
1738574816,21.69,21.69,53540
1738574878,21.69,21.69,53603
1738574939,21.69,21.69,53894
1738574995,21.69,21.69,54698
1738575057,21.69,21.69,56408
1738575115,21.69,21.69,57618
1738575178,21.69,21.69,58387
1738575239,21.69,21.69,65589
1738575292,21.69,21.69,66064
1738575357,21.69,21.69,66193
1738575413,21.69,21.69,66323
1738575478,21.69,21.69,67208
1738575535,21.69,21.69,67525
1738575595,21.69,21.69,72015
1738575658,21.69,21.69,72086
1738575714,21.69,21.69,72126
1738575776,21.69,21.69,72128
1738575838,21.69,21.69,72629
1738575899,21.69,21.69,72654
1738575936,21.69,21.69,82669
1738576017,21.69,21.69,87894
1738576075,21.69,21.69,88419
1738576132,21.69,21.69,89429
1738576192,21.69,21.69,90209
1738576250,21.69,21.69,90309
1738576310,21.69,21.69,90680
1738576377,21.69,21.69,90988
1738576423,21.69,21.69,91564
1738576496,21.69,21.69,91679
1738576551,21.69,21.69,91948
1738576619,21.69,21.69,92001
1738576669,21.69,21.69,92261
1738576715,21.69,21.69,94171
1738576786,21.69,21.69,94246
1738576859,21.69,21.69,94286
1738576906,21.69,21.69,94488
1738576977,21.69,21.69,94500
1738577036,21.69,21.69,95551
1738577099,21.69,21.69,95551
1738577157,21.69,21.69,95677
1738577213,21.69,21.69,95681
1738577245,21.69,21.69,95751
1738577335,21.69,21.69,96128
1738577392,21.69,21.69,96135
1738577454,21.69,21.69,96788
1738577516,21.69,21.69,96996
1738577577,21.69,21.69,97061
1738577638,21.69,21.69,97072
1738577696,21.69,21.69,97083
1738577757,21.69,21.69,97098
1738577810,21.69,21.69,97300
1738577879,21.69,21.69,97734
1738577936,21.69,21.69,98751
1738577975,21.69,21.69,99645
1738578026,21.69,21.69,99670
1738578092,21.69,21.69,99671
1738578177,21.69,21.69,99724
1738578234,21.69,21.69,99849
1738578287,21.69,21.69,100264
1738578352,21.69,21.69,100464
1738578380,21.69,21.69,100464
1738578478,21.69,21.69,105722
1738578523,21.69,21.69,105722
1738578577,21.69,21.69,105722
1738578659,21.69,21.69,105724
1738578714,21.69,21.69,107407
1738578772,21.69,21.69,107468
1738578794,21.69,21.69,107469
1738578875,21.69,21.69,107494
1738578954,21.69,21.69,107603
1738579019,21.69,21.69,108190
1738579075,21.69,21.69,108399
1738579125,21.69,21.69,108399
1738579188,21.69,21.69,108514
1738579239,21.69,21.69,108546
1738579314,21.69,21.69,111847
1738579358,21.69,21.69,111852
1738579428,21.69,21.69,111852
1738579492,21.69,21.69,111857
1738579538,21.69,21.69,111926
1738579617,21.69,21.69,111938
1738579667,21.69,21.69,111938
1738579733,21.69,21.69,111965
1738579795,21.69,21.69,111966
1738579845,21.69,21.69,112066
1738579915,21.69,21.69,112776
1738579974,21.69,21.69,113126
1738580034,21.69,21.69,113496
1738580086,21.69,21.69,113506
1738580150,21.69,21.69,113557
1738580206,21.69,21.69,114617
1738580278,21.69,21.69,114977
1738580320,21.69,21.69,114978
1738580378,21.69,21.69,114978
