t,ap,cp,v
1738573695,3349.95,3349.95,8
1738573741,3349.95,3349.95,8
1738574159,3330.46,3297.20,57
1738574219,3309.70,3247.30,89
1738574279,3279.34,3228.70,215
1738574339,3277.56,3227.20,225
1738574399,3276.48,3227.20,230
1738574459,3269.93,3217.85,263
1738574519,3265.73,3229.40,285
1738574578,3262.73,3221.00,302
1738574639,3254.03,3219.25,354
1738574699,3253.31,3220.00,362
1738574759,3248.62,3242.55,433
1738574819,3248.68,3255.00,436
1738574879,3249.59,3262.00,466
1738574939,3250.25,3296.00,473
1738574999,3250.34,3291.45,474
1738575059,3251.31,3290.60,486
1738575118,3252.55,3292.25,499
1738575179,3252.60,3274.75,500
1738575239,3252.60,3274.75,500
1738575299,3252.60,3274.75,500
1738575359,3252.60,3274.75,500
1738575419,3252.60,3274.75,500
1738575479,3252.60,3274.75,500
1738575539,3252.60,3274.75,500
1738575599,3252.60,3274.75,500
1738575659,3252.60,3274.75,500
1738575719,3254.50,3307.65,518
1738575778,3254.50,3307.65,518
1738575839,3254.82,3310.00,521
1738575895,3254.82,3310.00,521
1738575959,3255.19,3304.10,525
1738576018,3255.19,3304.10,525
1738576079,3255.19,3304.10,525
1738576139,3255.34,3295.75,527
1738576197,3256.60,3310.10,540
1738576259,3257.78,3316.65,551
1738576319,3257.78,3316.65,551
1738576379,3259.72,3316.95,570
1738576439,3260.51,3316.95,578
1738576499,3260.51,3316.95,578
1738576559,3260.51,3316.95,578
1738576619,3260.51,3316.95,578
1738576679,3262.89,3324.70,601
1738576739,3269.69,3334.20,658
1738576794,3269.69,3334.20,658
1738576859,3269.69,3334.20,658
1738576919,3269.69,3334.20,658
1738576979,3269.69,3334.20,658
1738577039,3269.69,3334.20,658
1738577099,3269.69,3334.20,658
1738577159,3270.09,3334.70,662
1738577218,3270.09,3334.70,662
1738577278,3272.66,3345.00,686
1738577339,3272.66,3345.00,686
1738577397,3272.66,3345.00,686
1738577458,3272.66,3345.00,686
1738577514,3272.66,3345.00,686
1738577579,3272.66,3345.00,686
1738577639,3272.66,3345.00,686
1738577699,3274.90,3346.40,708
1738577757,3274.90,3346.40,708
1738577819,3274.90,3346.40,708
1738577876,3274.90,3346.40,708
1738577939,3274.90,3346.40,708
1738577999,3274.90,3346.40,708
1738578059,3274.90,3346.40,708
1738578119,3274.90,3346.40,708
1738578179,3274.90,3346.40,708
1738578234,3274.90,3346.40,708
1738578299,3274.90,3346.40,708
1738578357,3274.90,3346.40,708
1738578419,3275.47,3354.75,713
1738578478,3275.47,3354.75,713
1738578536,3275.47,3354.75,713
1738578599,3275.47,3354.75,713
1738578659,3275.47,3354.75,713
1738578719,3275.47,3354.75,713
1738578779,3276.52,3360.35,722
1738578839,3276.52,3360.35,722
1738578899,3276.52,3360.35,722
1738578959,3278.04,3351.25,736
1738579019,3278.04,3351.25,736
1738579079,3278.04,3351.25,736
1738579139,3278.04,3351.25,736
1738579198,3278.04,3351.25,736
1738579259,3278.04,3351.25,736
1738579319,3278.04,3351.25,736
1738579379,3278.04,3351.25,736
1738579439,3278.15,3356.75,737
1738579499,3278.15,3356.75,737
1738579559,3278.15,3356.75,737
1738579618,3278.15,3356.75,737
1738579678,3278.15,3356.75,737
1738579739,3278.60,3364.50,741
1738579796,3278.60,3364.50,741
1738579859,3278.60,3364.50,741
1738579918,3278.60,3364.50,741
1738579979,3278.60,3364.50,741
1738580034,3278.60,3364.50,741
1738580098,3278.60,3364.50,741
1738580157,3278.60,3364.50,741
1738580218,3278.60,3364.50,741
1738580279,3278.60,3364.50,741
1738580338,3278.60,3364.50,741
1738580399,3278.60,3364.50,741
1738580459,3278.60,3364.50,741
1738580519,3278.60,3364.50,741
1738580578,3278.60,3364.50,741
1738580639,3278.94,3362.00,744
1738580699,3278.94,3362.00,744
1738580759,3278.94,3362.00,744
1738580819,3278.94,3362.00,744
1738580879,3279.59,3359.85,750
1738580938,3279.59,3359.85,750
1738580999,3279.59,3359.85,750
1738581059,3279.59,3359.85,750
1738581118,3279.70,3357.55,751
1738581179,3279.70,3357.55,751
1738581239,3279.70,3357.55,751
1738581299,3279.70,3357.55,751
1738581359,3279.70,3357.55,751
1738581418,3280.86,3368.10,761
