t,ap,cp,v
1738573658,1316.80,1316.80,722
1738573694,1316.80,1316.80,722
1738573740,1316.80,1316.80,722
1738574159,1301.77,1309.95,5672
1738574219,1304.60,1314.75,7943
1738574279,1307.69,1315.80,10345
1738574339,1309.70,1322.80,12051
1738574399,1311.25,1318.55,13776
1738574459,1311.76,1317.30,14746
1738574519,1311.89,1319.80,14983
1738574579,1313.48,1330.00,16741
1738574639,1315.38,1335.00,18641
1738574699,1317.19,1329.05,20737
1738574759,1317.38,1333.35,21040
1738574819,1318.58,1339.00,22491
1738574879,1319.73,1342.35,23788
1738574939,1321.03,1339.45,25227
1738574999,1321.62,1339.45,25955
1738575059,1322.01,1331.25,26634
1738575119,1322.66,1337.05,27826
1738575179,1322.86,1331.25,28460
1738575239,1323.30,1334.95,29429
1738575299,1323.61,1341.00,30042
1738575359,1324.40,1337.90,31784
1738575419,1324.79,1331.25,32919
1738575479,1324.94,1331.30,33615
1738575539,1325.12,1335.50,34181
1738575599,1325.23,1337.70,34529
1738575659,1325.56,1341.10,35341
1738575719,1325.92,1335.05,36445
1738575779,1326.11,1339.45,37054
1738575839,1326.37,1341.75,37751
1738575899,1327.11,1343.70,39238
1738575959,1327.33,1343.75,39801
1738576016,1327.64,1344.95,40521
1738576079,1327.82,1337.30,41092
1738576139,1327.92,1343.95,41429
1738576199,1328.20,1337.50,42519
1738576259,1328.58,1346.30,43526
1738576319,1330.14,1344.30,47112
1738576379,1330.52,1348.10,48288
1738576439,1330.89,1350.00,49298
1738576499,1331.19,1349.20,50049
1738576559,1331.50,1350.60,50896
1738576619,1331.70,1350.75,51441
1738576679,1331.88,1348.75,51963
1738576739,1332.00,1349.25,52360
1738576799,1332.25,1350.00,53176
1738576859,1332.32,1348.10,53415
1738576919,1332.64,1351.35,54382
1738576979,1332.95,1353.60,55187
1738577039,1333.97,1358.95,57843
1738577099,1334.40,1357.55,58894
1738577159,1335.22,1360.65,60887
1738577219,1335.40,1355.10,61396
1738577279,1335.68,1352.95,62406
1738577338,1336.12,1360.00,63794
1738577399,1336.45,1357.00,64708
1738577459,1336.87,1358.05,65827
1738577519,1337.24,1360.35,66914
1738577579,1337.53,1360.75,67715
1738577639,1337.70,1361.15,68196
1738577699,1337.84,1360.25,68628
1738577759,1338.13,1362.20,69486
1738577819,1338.33,1360.20,70108
1738577879,1338.56,1359.20,70916
1738577938,1338.63,1357.00,71195
1738577999,1338.76,1360.00,71679
1738578059,1339.12,1357.00,72959
1738578119,1339.20,1361.85,73224
1738578179,1339.39,1362.35,73850
1738578239,1340.36,1366.60,76508
1738578299,1340.97,1370.45,78172
1738578359,1341.35,1369.60,79276
1738578419,1341.72,1368.70,80393
1738578479,1341.86,1366.95,80874
1738578539,1341.96,1367.10,81174
1738578599,1342.18,1368.30,81879
1738578659,1342.79,1371.80,83644
1738578719,1343.17,1373.55,84700
1738578779,1343.43,1372.00,85433
1738578839,1343.87,1377.95,86636
1738578897,1344.28,1378.70,87721
1738578959,1344.65,1373.90,88745
1738579019,1345.06,1368.90,89997
1738579079,1345.49,1374.20,91520
1738579139,1345.70,1375.40,92191
1738579199,1346.72,1381.50,95098
1738579259,1347.25,1374.90,96887
1738579319,1347.42,1375.40,97508
1738579379,1347.64,1380.60,98179
1738579439,1347.81,1382.00,98701
1738579499,1348.14,1382.30,99662
1738579559,1348.30,1380.00,100143
1738579619,1348.83,1382.45,101793
1738579679,1350.40,1384.70,106272
1738579739,1350.64,1386.00,106984
1738579799,1351.01,1385.65,108159
1738579859,1351.43,1384.25,109472
1738579919,1351.66,1383.40,110249
1738579979,1351.80,1387.00,110691
1738580039,1351.92,1385.75,111078
1738580099,1352.16,1386.30,111858
1738580159,1352.46,1389.70,112816
1738580219,1352.61,1388.30,113285
1738580279,1352.78,1389.20,113827
1738580339,1353.09,1389.10,114842
1738580399,1353.57,1389.50,116352
1738580459,1353.65,1390.00,116624
1738580519,1354.43,1391.50,119119
1738580579,1354.60,1390.05,119666
1738580639,1354.69,1391.00,119954
