t,ap,cp,v
1738574158,757.16,755.15,8
1738574211,757.29,757.20,49
1738574278,757.77,759.75,61
1738574337,758.15,760.55,76
1738574399,758.24,759.05,84
1738574458,758.24,759.05,84
1738574519,757.48,756.05,131
1738574578,757.48,756.05,131
1738574639,757.48,756.05,131
1738574699,757.49,759.55,132
1738574759,757.49,759.55,132
1738574819,760.13,765.95,197
1738574879,760.41,768.25,204
1738574938,760.41,768.25,204
1738574999,760.41,768.25,204
1738575059,761.11,767.50,229
1738575119,762.75,767.70,301
1738575179,764.20,771.35,360
1738575239,764.26,774.25,362
1738575298,765.94,774.55,416
1738575359,766.41,773.25,445
1738575419,766.49,773.85,450
1738575478,766.69,771.35,469
1738575539,766.72,771.50,472
1738575598,766.91,773.25,490
1738575659,767.47,777.05,519
1738575719,767.53,778.00,522
1738575778,767.53,778.00,522
1738575838,767.56,777.10,524
1738575898,767.68,776.70,531
1738575959,767.70,777.65,532
1738576019,767.70,777.65,532
1738576077,767.70,777.65,532
1738576139,768.04,784.80,543
1738576199,768.04,784.80,543
1738576259,768.84,782.85,573
1738576319,769.71,783.05,610
1738576378,769.75,782.20,612
1738576438,769.88,781.20,619
1738576499,769.88,781.20,619
1738576558,769.88,781.20,619
1738576619,769.88,781.20,619
1738576679,769.88,781.20,619
1738576739,769.88,781.20,619
1738576799,769.88,781.20,619
1738576859,769.96,782.50,623
1738576919,769.96,782.50,623
1738576977,770.27,781.90,640
1738577038,770.27,781.90,640
1738577098,770.27,781.90,640
1738577159,770.27,781.90,640
1738577219,770.27,781.90,640
1738577279,770.27,781.90,640
1738577339,770.27,781.90,640
1738577399,775.44,781.95,1152
1738577458,775.44,781.95,1152
1738577519,778.99,788.10,1675
1738577579,779.00,789.00,1676
1738577639,779.10,785.70,1701
1738577699,779.10,785.70,1701
1738577759,779.20,784.75,1732
1738577818,779.20,784.75,1732
1738577879,779.20,784.75,1732
1738577939,779.20,784.75,1732
1738577999,779.20,784.75,1732
1738578059,779.20,784.75,1732
1738578116,779.22,783.90,1739
1738578178,779.28,786.20,1758
1738578239,779.28,786.20,1758
1738578298,779.28,786.20,1758
1738578358,779.28,786.20,1758
1738578418,779.28,786.20,1758
1738578478,779.32,785.55,1769
1738578539,779.32,785.55,1769
1738578599,779.32,785.55,1769
1738578658,779.32,785.55,1769
1738578718,779.32,785.55,1769
1738578779,779.32,785.55,1769
1738578839,779.32,785.55,1769
1738578899,779.32,785.55,1769
1738578957,779.42,781.20,1854
1738579019,779.75,783.95,2276
1738579078,779.75,783.95,2276
1738579138,779.75,783.95,2276
1738579199,779.75,783.95,2276
1738579259,779.75,783.95,2276
1738579318,780.11,786.85,2401
1738579376,780.11,786.85,2401
1738579438,780.11,786.85,2401
1738579498,780.26,790.00,2439
1738579559,780.26,790.00,2439
1738579615,780.26,790.00,2439
1738579679,780.45,791.40,2480
1738579739,780.45,791.40,2480
1738579799,780.45,791.40,2480
1738579859,780.52,799.85,2490
1738579919,780.75,799.85,2520
1738579979,780.75,799.85,2520
1738580037,780.77,799.55,2522
1738580097,780.77,799.55,2522
1738580159,780.77,799.55,2522
1738580219,780.97,798.60,2550
1738580279,780.97,798.60,2550
1738580338,780.97,798.60,2550
1738580399,780.97,798.60,2550
1738580458,780.97,798.60,2550
1738580519,780.97,798.60,2550
1738580578,780.97,798.60,2550
1738580639,781.05,800.90,2561
1738580697,781.05,800.90,2561
1738580756,781.08,804.60,2564
1738580819,781.20,801.85,2579
1738580879,781.20,801.85,2579
1738580937,781.20,801.85,2579
1738580998,781.29,798.20,2592
1738581058,781.29,798.20,2592
1738581119,781.29,798.20,2592
1738581178,781.29,798.20,2592
1738581237,781.29,798.20,2592
1738581295,781.29,798.20,2592
1738581359,781.29,798.20,2592
1738581419,784.36,803.00,3070
1738581477,784.42,804.05,3080
1738581537,784.53,804.10,3097
1738581598,784.53,804.10,3097
1738581657,784.53,804.10,3097
1738581719,784.53,804.10,3097
1738581779,784.53,804.10,3097
1738581838,784.53,804.10,3097
1738581899,784.53,804.10,3097
1738581959,784.53,804.10,3097
1738582018,784.53,804.10,3097
1738582079,784.80,805.05,3138
1738582139,784.80,805.05,3138
1738582199,791.20,811.90,4110
1738582259,793.30,818.00,4460
1738582318,797.01,818.00,5261
1738582379,797.33,820.00,5341
1738582439,797.33,820.00,5341
1738582499,797.33,820.00,5341
1738582559,797.42,821.50,5361
1738582619,797.48,826.00,5372
1738582679,797.48,826.70,5373
1738582739,797.48,826.70,5373
1738582799,797.52,818.00,5383
1738582859,797.52,818.00,5383
1738582919,798.18,833.75,5484
1738582979,798.69,836.60,5568
1738583039,799.23,832.35,5651
1738583099,799.25,834.05,5654
1738583159,799.25,834.05,5654
1738583219,799.25,834.05,5654
1738583279,799.41,829.35,5684
1738583339,800.73,834.20,5910
1738583399,800.73,834.20,5910
1738583459,801.33,834.20,6018
1738583518,801.47,830.00,6048
1738583579,801.58,830.45,6071
1738583639,801.58,830.45,6071
1738583699,802.04,830.00,6171
1738583759,802.04,830.00,6171
1738583819,802.60,836.85,6271
1738583877,802.60,836.85,6271
1738583938,803.30,834.50,6413
1738583999,803.37,833.65,6428
1738584058,803.83,833.00,6528
1738584119,803.85,833.75,6532
1738584179,804.34,837.80,6628
1738584239,804.34,837.80,6629
1738584299,805.37,838.90,6832
1738584359,805.48,836.90,6854
1738584419,806.14,838.95,7005
1738584479,806.23,836.45,7023
1738584539,806.23,836.45,7023
1738584599,806.29,831.60,7039
1738584659,806.66,834.00,7136
1738584719,806.66,834.00,7136
1738584779,806.66,834.00,7136
1738584838,806.66,834.00,7136
1738584899,807.42,831.30,7361
1738584959,807.43,831.00,7365
1738585017,807.43,831.00,7365
