t,ap,cp,v
1738574159,10900.00,10900.00,15
1738574219,10931.45,10977.85,30
1738574279,10931.45,10977.85,30
1738574339,10957.22,10980.15,49
1738574398,10969.51,11050.90,58
1738574459,10969.51,11050.90,58
1738574518,10970.31,11016.70,59
1738574578,10970.44,10978.00,60
1738574639,10970.44,10978.00,60
1738574699,10970.42,10969.35,61
1738574757,10970.42,10969.35,61
1738574814,10973.40,10999.35,70
1738574879,10981.67,11060.00,82
1738574939,10981.67,11060.00,82
1738574997,10981.67,11060.00,82
1738575059,10981.67,11060.00,82
1738575119,10981.67,11060.00,82
1738575178,10981.67,11060.00,82
1738575238,10981.67,11060.00,82
1738575299,10981.67,11060.00,82
1738575359,10981.67,11060.00,82
1738575419,10981.67,11060.00,82
1738575477,10981.67,11060.00,82
1738575536,10981.67,11060.00,82
1738575596,10981.67,11060.00,82
1738575659,10981.67,11060.00,82
1738575719,10981.21,10943.55,83
1738575778,10981.21,10943.55,83
1738575839,10981.21,10943.55,83
1738575899,10981.21,10943.55,83
1738575959,10981.21,10943.55,83
1738576017,10981.21,10943.55,83
1738576077,10981.21,10943.55,83
1738576138,10981.21,10943.55,83
1738576198,10981.21,10943.55,83
1738576256,10981.21,10943.55,83
1738576317,10981.21,10943.55,83
1738576379,10981.21,10943.55,83
1738576439,10981.21,10943.55,83
1738576499,10981.21,10943.55,83
1738576559,10981.21,10943.55,83
1738576612,10981.21,10943.55,83
1738576678,10980.50,10922.10,84
1738576739,10980.50,10922.10,84
1738576799,10980.50,10922.10,84
1738576847,10980.50,10922.10,84
1738576919,10980.50,10922.10,84
1738576979,10980.12,10947.70,85
1738577039,10976.09,10945.00,96
1738577098,10976.09,10945.00,96
1738577159,10973.41,10950.00,107
1738577218,10973.41,10950.00,107
1738577279,10973.41,10950.00,107
1738577336,10973.41,10950.00,107
1738577399,10973.41,10950.00,107
1738577459,10973.41,10950.00,107
1738577519,10973.41,10950.00,107
1738577571,10973.41,10950.00,107
1738577639,10973.21,10952.05,108
1738577697,10973.21,10952.05,108
1738577759,10973.21,10952.05,108
1738577819,10969.97,10900.00,113
1738577879,10953.46,10876.50,138
1738577932,10953.46,10876.50,138
1738577997,10953.46,10876.50,138
1738578059,10953.46,10876.50,138
1738578118,10953.46,10876.50,138
1738578176,10953.46,10876.50,138
1738578236,10953.46,10876.50,138
1738578297,10953.46,10876.50,138
1738578358,10953.46,10876.50,138
1738578414,10953.46,10876.50,138
1738578478,10953.46,10876.50,138
1738578539,10952.93,10879.80,139
1738578599,10952.93,10879.80,139
1738578659,10952.93,10879.80,139
1738578718,10952.93,10879.80,139
1738578779,10952.93,10879.80,139
1738578817,10952.93,10879.80,139
1738578899,10952.93,10879.80,139
1738578950,10952.93,10879.80,139
1738579019,10951.22,10913.35,145
1738579079,10951.22,10913.35,145
1738579139,10951.22,10913.35,145
1738579196,10951.22,10913.35,145
1738579258,10951.22,10913.35,145
1738579319,10951.22,10913.35,145
1738579378,10951.22,10913.35,145
1738579437,10951.22,10913.35,145
1738579496,10951.22,10913.35,145
1738579559,10951.22,10913.35,145
1738579619,10951.22,10913.35,145
1738579676,10950.71,10913.35,147
1738579738,10950.71,10913.35,147
1738579797,10950.40,10928.00,149
1738579859,10950.40,10928.00,149
1738579918,10949.96,10928.00,152
1738579979,10949.96,10928.00,152
1738580039,10950.00,10956.35,153
1738580098,10950.00,10956.35,153
1738580158,10950.00,10956.35,153
1738580218,10950.00,10956.35,153
1738580278,10950.00,10956.35,153
1738580338,10950.00,10956.35,153
1738580399,10944.46,10899.10,173
1738580459,10944.14,10945.65,190
1738580519,10944.14,10945.65,190
1738580574,10944.14,10945.65,190
1738580637,10944.14,10945.65,190
1738580697,10944.14,10945.65,190
1738580759,10944.14,10945.65,190
1738580819,10944.14,10945.65,190
1738580879,10944.14,10945.65,190
1738580935,10944.14,10945.65,190
1738580999,10944.14,10945.65,190
1738581059,10944.14,10945.65,190
1738581118,10944.14,10945.65,190
1738581176,10944.14,10945.65,190
1738581234,10944.14,10945.65,190
1738581299,10944.14,10945.65,190
1738581359,10944.14,10945.65,190
1738581419,10942.00,10900.70,200
1738581474,10942.00,10900.70,200
1738581539,10942.00,10900.70,200
1738581598,10942.00,10900.70,200
1738581657,10942.00,10900.70,200
1738581719,10942.00,10900.70,200
1738581777,10942.00,10900.70,200
1738581839,10942.00,10900.70,200
1738581899,10942.00,10900.70,200
1738581959,10942.00,10900.70,200
1738582019,10942.00,10900.70,200
1738582078,10942.00,10900.70,200
1738582139,10942.00,10900.70,200
1738582195,10942.00,10900.70,200
1738582258,10942.00,10900.70,200
1738582318,10942.00,10900.70,200
1738582379,10942.00,10900.70,200
1738582439,10942.00,10900.70,200
1738582499,10942.00,10900.70,200
1738582559,10942.00,10900.70,200
1738582619,10941.79,10900.70,201
1738582679,10941.79,10900.70,201
1738582739,10941.79,10900.70,201
1738582799,10941.79,10900.70,201
1738582859,10941.79,10900.70,201
1738582919,10941.79,10900.70,201
1738582979,10941.79,10900.70,201
1738583036,10941.79,10900.70,201
1738583099,10941.79,10900.70,201
1738583158,10940.64,10913.35,209
1738583219,10940.64,10913.35,209
1738583279,10940.64,10913.35,209
1738583339,10940.64,10913.35,209
1738583399,10940.64,10913.35,209
1738583458,10940.64,10913.35,209
1738583518,10940.64,10913.35,209
1738583579,10940.64,10913.35,209
1738583638,10940.64,10913.35,209
1738583698,10940.64,10913.35,209
1738583759,10940.64,10913.35,209
1738583819,10940.64,10913.35,209
1738583877,10940.64,10913.35,209
1738583938,10939.89,10930.40,224
1738583997,10939.89,10930.40,224
1738584059,10939.89,10930.40,224
1738584119,10940.28,10957.90,229
