t,ap,cp,v
1738573635,978.70,978.70,121
1738573735,978.70,978.70,121
1738573740,978.70,978.70,121
1738574159,971.17,969.45,326
1738574218,971.17,969.45,326
1738574279,971.06,969.95,380
1738574339,970.99,968.90,392
1738574399,970.36,965.55,460
1738574459,969.43,964.65,557
1738574519,968.79,966.15,664
1738574578,968.77,966.55,670
1738574639,968.62,966.50,719
1738574699,968.62,968.80,736
1738574759,969.07,970.20,909
1738574819,969.28,972.80,970
1738574879,969.33,972.25,983
1738574939,969.43,975.00,1007
1738574999,969.59,973.60,1041
1738575059,969.61,974.60,1046
1738575119,969.62,976.20,1047
1738575178,969.74,976.50,1066
1738575239,970.13,976.95,1124
1738575299,970.36,976.75,1164
1738575359,970.36,976.75,1165
1738575419,970.46,976.95,1183
1738575479,970.68,977.65,1223
1738575539,970.73,974.30,1241
1738575599,970.83,975.55,1266
1738575659,970.83,975.55,1266
1738575719,971.03,973.45,1381
1738575779,971.03,972.75,1384
1738575839,971.03,972.75,1384
1738575899,971.09,972.65,1439
1738575959,971.19,972.50,1548
1738576019,971.75,971.70,2538
1738576079,971.72,971.20,2672
1738576139,971.71,969.45,2680
1738576199,971.60,969.55,2788
1738576259,971.58,970.20,2816
1738576319,971.43,970.00,3166
1738576378,971.43,970.00,3166
1738576439,971.40,970.60,3391
1738576499,971.40,970.60,3391
1738576559,971.40,970.60,3391
1738576619,971.39,970.60,3432
1738576679,971.39,971.60,3448
1738576739,971.39,969.50,3451
1738576799,971.39,969.50,3451
1738576859,971.39,970.50,3455
1738576919,971.38,969.20,3460
1738576979,971.37,968.80,3476
1738577039,971.37,968.80,3476
1738577099,971.37,968.00,3479
1738577159,971.35,966.55,3489
1738577219,971.35,967.95,3492
1738577279,971.35,967.95,3492
1738577339,971.35,967.95,3492
1738577399,971.34,966.85,3497
1738577459,971.20,969.75,3708
1738577519,971.20,969.75,3708
1738577579,971.18,969.75,3767
1738577639,971.18,968.15,3770
1738577698,971.18,968.15,3770
1738577759,971.18,969.35,3773
1738577819,971.18,969.70,3774
1738577879,971.18,969.70,3774
